Protein	Genome ID,,Description,,# HIT
A0A1L9C4J6	N/A,,N/A,,N/A
A0A1L9C4L4	N/A,,N/A,,N/A
A0A1L9C4L6	N/A,,N/A,,N/A
A0A1L9C4L9	N/A,,N/A,,N/A
A0A1L9C4M2	N/A,,N/A,,N/A
A0A1L9C4N8	N/A,,N/A,,N/A
A0A1L9C4R4	N/A,,N/A,,N/A
A0A1L9C4R9	N/A,,N/A,,N/A
A0A1L9C4V8	N/A,,N/A,,N/A
A0A1L9C511	N/A,,N/A,,N/A
A0A1L9C516	N/A,,N/A,,N/A
A0A1L9C556	N/A,,N/A,,N/A
A0A1L9C599	N/A,,N/A,,N/A
A0A1L9C5B0	N/A,,N/A,,N/A
A0A1L9C5B6	N/A,,N/A,,N/A
A0A1L9C5D2	N/A,,N/A,,N/A
A0A1L9C5D4	N/A,,N/A,,N/A
A0A1L9C5E8	N/A,,N/A,,N/A
A0A1L9C5F9	N/A,,N/A,,N/A
A0A1L9C5I8	N/A,,N/A,,N/A
A0A1L9C5K6	N/A,,N/A,,N/A
A0A1L9C5L7	N/A,,N/A,,N/A
A0A1L9C5L9	N/A,,N/A,,N/A
A0A1L9C5M9	N/A,,N/A,,N/A
A0A1L9C5N6	N/A,,N/A,,N/A
A0A1L9C5N7	N/A,,N/A,,N/A
A0A1L9C5N8	N/A,,N/A,,N/A
A0A1L9C5P0	N/A,,N/A,,N/A
A0A1L9C5P6	N/A,,N/A,,N/A
A0A1L9C5R2	N/A,,N/A,,N/A
A0A1L9C5S7	N/A,,N/A,,N/A
A0A1L9C5T3	N/A,,N/A,,N/A
A0A1L9C5V9	N/A,,N/A,,N/A
A0A1L9C624	N/A,,N/A,,N/A
A0A1L9C642	N/A,,N/A,,N/A
A0A1L9C646	N/A,,N/A,,N/A
A0A1L9C647	N/A,,N/A,,N/A
A0A1L9C669	N/A,,N/A,,N/A
A0A1L9C696	N/A,,N/A,,N/A
A0A1L9C6A3	N/A,,N/A,,N/A
A0A1L9C6A5	N/A,,N/A,,N/A
A0A1L9C6C2	N/A,,N/A,,N/A
A0A1L9C6C3	N/A,,N/A,,N/A
A0A1L9C6C8	N/A,,N/A,,N/A
A0A1L9C6G0	N/A,,N/A,,N/A
A0A1L9C6H3	N/A,,N/A,,N/A
A0A1L9C6H7	N/A,,N/A,,N/A
A0A1L9C6I3	N/A,,N/A,,N/A
A0A1L9C6K3	N/A,,N/A,,N/A
A0A1L9C6L9	N/A,,N/A,,N/A
A0A1L9C6P0	N/A,,N/A,,N/A
A0A1L9C6P7	N/A,,N/A,,N/A
A0A1L9C6P8	N/A,,N/A,,N/A
A0A1L9C6S6	N/A,,N/A,,N/A
A0A1L9C6S9	N/A,,N/A,,N/A
A0A1L9C6U3	N/A,,N/A,,N/A
A0A1L9C6U5	N/A,,N/A,,N/A
A0A1L9C6V7	N/A,,N/A,,N/A
A0A1L9C6W4	N/A,,N/A,,N/A
A0A1L9C727	N/A,,N/A,,N/A
A0A1L9C733	N/A,,N/A,,N/A
A0A1L9C787	N/A,,N/A,,N/A
A0A1L9C794	N/A,,N/A,,N/A
A0A1L9C7C2	N/A,,N/A,,N/A
A0A1L9C7D3	N/A,,N/A,,N/A
A0A1L9C7D5	N/A,,N/A,,N/A
A0A1L9C7E1	N/A,,N/A,,N/A
A0A1L9C7G2	N/A,,N/A,,N/A
A0A1L9C7G8	N/A,,N/A,,N/A
A0A1L9C7I4	N/A,,N/A,,N/A
A0A1L9C7J6	N/A,,N/A,,N/A
A0A1L9C7J8	N/A,,N/A,,N/A
A0A1L9C7L3	N/A,,N/A,,N/A
A0A1W6TFG2	N/A,,N/A,,N/A
A0A1W6TXT0	N/A,,N/A,,N/A
A0A1Y0PRK9	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0PSC7	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0PSP7	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0PX46	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0PYX9	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0PZC4	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0Q0X1	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0Q1Y2	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0Q2H3	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0Q5A7	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0Q5B5	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0Q5T0	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0Q6J4	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0Q7E7	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A1Y0QAF1	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A221FR80	N/A,,N/A,,N/A
A0A232JHL2	N/A,,N/A,,N/A
A0A249N0Z0	N/A,,N/A,,N/A
A0A249N188	N/A,,N/A,,N/A
A0A249N268	N/A,,N/A,,N/A
A0A249N2U1	N/A,,N/A,,N/A
A0A249N3F1	N/A,,N/A,,N/A
A0A249N4D0	N/A,,N/A,,N/A
A0A249N4E5	N/A,,N/A,,N/A
A0A249N7N0	N/A,,N/A,,N/A
A0A249N865	N/A,,N/A,,N/A
A0A2A2XF63	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2D1HGK0	N/A,,N/A,,N/A
A0A2D1HLQ6	N/A,,N/A,,N/A
A0A2D1HNA1	N/A,,N/A,,N/A
A0A2G3ESE2	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2I8JJ96	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2K2IQM3	N/A,,N/A,,N/A
A0A2K2IYQ5	N/A,,N/A,,N/A
A0A2L1XSV0	N/A,,N/A,,N/A
A0A2S4MSA7	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MSB0	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MSL1	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MST5	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MTC3	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MTW3	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MTW6	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MUX3	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MVT6	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MVZ4	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MW07	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MWH0	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MWS5	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MX43	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MX48	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MXM8	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MY18	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MY63	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MY66	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MYB8	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MYE3	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MYQ0	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4MZF3	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4N046	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4N062	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4N0X4	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4N1A1	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4N1S8	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4N2L0	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4N3Q4	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S4N3W2	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S8EHG0	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A2S8TUG1	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2T7VZH9	N/A,,N/A,,N/A
A0A2W0I5Q2	N/A,,N/A,,N/A
A0A2W0ISL7	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2W0ITA0	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2W0IWE8	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2W0NPM7	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2W0T4A3	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2W0U5L8	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2W0YG69	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2W0ZR09	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2X3GUD7	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2X3HFU8	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2X3HGK1	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2X3HRY5	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2X3IF64	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2X3IQU0	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2X3IQX4	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2X3IR88	CP019047,,Gammaproteobacteria : Klebsiella pneumoniae subsp. pneumoniae RJA166 (CP019047),,87 sequence(s)
A0A2X3IUK5	N/A,,N/A,,N/A
A0A2Y4XEU7	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384K8E5	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384K9A1	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384KCS0	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384KEN1	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384KES1	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384KG73	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384KG77	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384KIQ0	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384KJH6	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384KN81	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384KQF8	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384KRI4	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384KRU9	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384KU37	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384L0X3	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384L159	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384L1N9	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384L4I2	N/A,,N/A,,N/A
A0A384L4W3	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384L571	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384L8I3	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384L9V6	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384LJ77	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384LKD4	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384LMI5	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384LPJ8	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384LPW3	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384LQF0	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A384LQK7	AE005674,,Gammaproteobacteria : Shigella flexneri 2a str. 301,,93 sequence(s)
A0A399DPS6	N/A,,N/A,,N/A
A0A399DRI1	N/A,,N/A,,N/A
A0A399DS01	N/A,,N/A,,N/A
A0A399DUG9	N/A,,N/A,,N/A
A0A399DYN6	N/A,,N/A,,N/A
A0A399E4K3	N/A,,N/A,,N/A
A0A399E6K4	N/A,,N/A,,N/A
A0A399E757	N/A,,N/A,,N/A
A0A399E964	N/A,,N/A,,N/A
A0A399EAK2	N/A,,N/A,,N/A
A0A4Z9	N/A,,N/A,,N/A
A0AF17	AM263198,,Firmicutes : Listeria welshimeri serovar 6b str. SLCC5334,,66 sequence(s)
A0AF43	AM263198,,Firmicutes : Listeria welshimeri serovar 6b str. SLCC5334,,66 sequence(s)
A0AHG7	AM263198,,Firmicutes : Listeria welshimeri serovar 6b str. SLCC5334,,66 sequence(s)
A0AIK3	AM263198,,Firmicutes : Listeria welshimeri serovar 6b str. SLCC5334,,66 sequence(s)
A0AK46	AM263198,,Firmicutes : Listeria welshimeri serovar 6b str. SLCC5334,,66 sequence(s)
A0AL98	AM263198,,Firmicutes : Listeria welshimeri serovar 6b str. SLCC5334,,66 sequence(s)
A0ALE4	AM263198,,Firmicutes : Listeria welshimeri serovar 6b str. SLCC5334,,66 sequence(s)
A0ALP2	AM263198,,Firmicutes : Listeria welshimeri serovar 6b str. SLCC5334,,66 sequence(s)
A0PNL7	CP000325,,Actinobacteria : Mycobacterium ulcerans Agy99,,45 sequence(s)
A0QNE2	N/A,,N/A,,N/A
A0QNF6	N/A,,N/A,,N/A
A0QNG1	N/A,,N/A,,N/A
A0QNG2	N/A,,N/A,,N/A
A0QNG7	N/A,,N/A,,N/A
A0QNI2	N/A,,N/A,,N/A
A0QNJ7	N/A,,N/A,,N/A
A0QP02	N/A,,N/A,,N/A
A0QP27	N/A,,N/A,,N/A
A0QP93	N/A,,N/A,,N/A
A0QPF7	N/A,,N/A,,N/A
A0QPN2	N/A,,N/A,,N/A
A0QQ61	N/A,,N/A,,N/A
A0QQB2	N/A,,N/A,,N/A
A0QQH1	N/A,,N/A,,N/A
A0QQI7	N/A,,N/A,,N/A
A0QR05	N/A,,N/A,,N/A
A0QRP3	N/A,,N/A,,N/A
A0QRV7	N/A,,N/A,,N/A
A0QS52	N/A,,N/A,,N/A
A0QS80	N/A,,N/A,,N/A
A0QSD6	N/A,,N/A,,N/A
A0QSD7	N/A,,N/A,,N/A
A0QSG6	N/A,,N/A,,N/A
A0QSP8	N/A,,N/A,,N/A
A0QSQ1	N/A,,N/A,,N/A
A0QSS3	N/A,,N/A,,N/A
A0QSU3	N/A,,N/A,,N/A
A0QSY1	N/A,,N/A,,N/A
A0QT33	N/A,,N/A,,N/A
A0QUA6	N/A,,N/A,,N/A
A0QUX6	N/A,,N/A,,N/A
A0QV26	N/A,,N/A,,N/A
A0QV37	N/A,,N/A,,N/A
A0QVT6	N/A,,N/A,,N/A
A0QVY1	N/A,,N/A,,N/A
A0QVY4	N/A,,N/A,,N/A
A0QVZ3	N/A,,N/A,,N/A
A0QW11	N/A,,N/A,,N/A
A0QWG9	N/A,,N/A,,N/A
A0QWQ9	N/A,,N/A,,N/A
A0QWR2	N/A,,N/A,,N/A
A0QWS9	N/A,,N/A,,N/A
A0QWV0	N/A,,N/A,,N/A
A0QYB1	N/A,,N/A,,N/A
A0QYE8	N/A,,N/A,,N/A
A0QYF6	N/A,,N/A,,N/A
A0QYG2	N/A,,N/A,,N/A
A0QYQ0	N/A,,N/A,,N/A
A0QYR3	N/A,,N/A,,N/A
A0R006	N/A,,N/A,,N/A
A0R012	N/A,,N/A,,N/A
A0R049	N/A,,N/A,,N/A
A0R054	N/A,,N/A,,N/A
A0R082	N/A,,N/A,,N/A
A0R0F3	N/A,,N/A,,N/A
A0R0W9	N/A,,N/A,,N/A
A0R2J4	N/A,,N/A,,N/A
A0R2U6	N/A,,N/A,,N/A
A0R2V4	N/A,,N/A,,N/A
A0R2X1	N/A,,N/A,,N/A
A0R2X3	N/A,,N/A,,N/A
A0R316	N/A,,N/A,,N/A
A0R368	N/A,,N/A,,N/A
A0R3C1	N/A,,N/A,,N/A
A0R3K5	N/A,,N/A,,N/A
A0R3L2	N/A,,N/A,,N/A
A0R3M3	N/A,,N/A,,N/A
A0R3M6	N/A,,N/A,,N/A
A0R4B3	N/A,,N/A,,N/A
A0R4G4	N/A,,N/A,,N/A
A0R4R5	N/A,,N/A,,N/A
A0R574	N/A,,N/A,,N/A
A0R582	N/A,,N/A,,N/A
A0R5B0	N/A,,N/A,,N/A
A0R5D6	N/A,,N/A,,N/A
A0R5R8	N/A,,N/A,,N/A
A0R5Z0	N/A,,N/A,,N/A
A0R6Z6	N/A,,N/A,,N/A
A0R7H5	N/A,,N/A,,N/A
A0R7J1	N/A,,N/A,,N/A
A0R7J6	N/A,,N/A,,N/A
A1JS01	AM286415,,Gammaproteobacteria : Yersinia enterocolitica subsp. enterocolitica 8081,,79 sequence(s)
A1JS57	AM286415,,Gammaproteobacteria : Yersinia enterocolitica subsp. enterocolitica 8081,,79 sequence(s)
A1KEI6	N/A,,N/A,,N/A
A1KEM3	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KEN2	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KEU8	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KF76	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KFE4	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KFH2	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KFH3	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KFQ1	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KFR2	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KFV6	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KG00	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KG35	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KG43	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KGB4	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KGE8	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KGF0	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KGG3	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KGG5	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KGI6	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KGI8	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KGJ6	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KGL4	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KGY5	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KH33	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KH91	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KHA2	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KHE8	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KHE9	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KHL8	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KHN9	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KHS4	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KI95	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KI97	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KIM7	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KIN7	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KIS1	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KJ01	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KJ27	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KJD0	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KJN3	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KJP9	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KJR2	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KJR4	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KJX3	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KKE0	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KKH3	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KKJ6	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KKJ8	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KKK8	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KKK9	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KKQ5	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KL43	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KLE1	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KLF8	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KLQ3	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KLT2	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KLV6	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KMC6	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
A1KMI1	AM408590,,Actinobacteria : Mycobacterium bovis BCG str. Pasteur 1173P2,,47 sequence(s)
