Protein	Strain,,Genomic location,,Charge (pH 7),,Kyte-Doolittle Hydrophobicity Value,,Molecular Weight (kDa),,Isoelectric Point (pI)
B0R4E6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R4G7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R4K1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R4M9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R4U7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R4X6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R4Y1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R4Y4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R502	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R507	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R5A2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R5B6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R5T1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R5V7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R639	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R656	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R669	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R673	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R6B9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R6E4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R6J7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R6K8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R6N0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R6N9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R6U9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R6V4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R716	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R718	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R730	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R733	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R740	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R758	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R761	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R7B7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R7B9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R7D2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R7F9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R7G0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R7H4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R7J8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R7N5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R7N9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R7X8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R809	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R827	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R854	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R868	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R894	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R895	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R8C3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R8C8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R8D1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R9W9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R9X0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0R9Z1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0RSD3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0RVK5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0RY12	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VCC7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VKB2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VKC5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VKH6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VKN4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VKN8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VKV8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VL30	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VL49	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLB4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLB7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLI7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLL5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLN6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLP7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLP9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLR9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLS2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLT3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLV5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLX0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLX4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLX9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLY6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VLZ5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VM09	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VM15	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VM17	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VM27	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VM34	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VM40	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VM41	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VM47	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VM50	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VM65	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VM70	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VM78	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMA3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMG0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMK3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMK6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMK7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMM1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMQ4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMU1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMU5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMV0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMX7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMY0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VMZ1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VN00	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VN01	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VN09	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VN34	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VN61	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VN84	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VNB3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VNB8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VND0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VND4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VNF4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VNK2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VNK4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VNK8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VNW5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VNW6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VNW9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VNX2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VP28	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VP32	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VP39	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VP54	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VP87	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VP88	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VP98	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPA7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPB1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPD8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPF0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPG4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPG9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPH0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPH3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPK0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPK8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPL2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPL3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPL4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPN2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPS1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VPZ3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQ03	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQ05	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQ41	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQ52	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQ53	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQ75	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQ84	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQ97	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQI4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQI5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQI6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQJ8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQK7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQL2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQM1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQN1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQV5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQW4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQX4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VQZ5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VR06	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VR12	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VR17	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VR18	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VR25	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VR59	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VR79	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRB4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRC9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRD1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRG2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRH0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRH4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRH6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRJ0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRK6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRK7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRK9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRL3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRL9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRN3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRN5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRN8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRN9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRW1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRX0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRX4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VRZ6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VS13	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSA2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSA6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSB0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSC3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSC6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSC7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSG3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSH0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSK6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSK9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSL1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSM6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSP4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSP5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSP8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VSR1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VT26	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VT30	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VT37	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VT43	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VT50	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VT51	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VT70	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VT89	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTA3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTE3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTE4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTE7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTF2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTG3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTG4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTG5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTG6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTG7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTK7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTL0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTL8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTN8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTP6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTQ1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTR7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTW8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTY1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VTY5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VU03	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VU34	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VU36	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VU39	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VU92	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VUG0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VUH1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VUQ9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VUR7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VUS6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VUT0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VUT7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VUU5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VUU9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VUW0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VUW1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VUX3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VV27	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VV34	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VVA3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B0VVG9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1LJZ7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XHQ1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XHR0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XHU3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XHV3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XHW1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XHX8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XHY8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XI00	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XI15	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XI23	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XI27	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XI34	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XI63	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XI89	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XIB1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XID3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XID9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XIJ8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XIQ3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XIR1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XIS1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XIT7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XIX5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XIY4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XIZ9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJ00	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJ06	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJ17	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJ56	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJ57	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJ60	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJC1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJE1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJG5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJH2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJH3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJI0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJI9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJJ0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJJ1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJN0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJQ7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJR5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJV1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJV4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XJZ4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XK04	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XK65	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XK76	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XK81	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XK88	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKC7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKC9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKD0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKD3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKD5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKE5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKF4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKJ1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKJ2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKK0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKK6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKL1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKL6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKL7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKM6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKQ7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKR6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKS1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKU7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKV1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XKZ7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XL10	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XL15	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XL17	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XL18	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XL22	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XL29	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XL42	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XL66	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLA1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLA3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLC0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLC6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLD2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLD5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLE2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLF2	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLF8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLH5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLK6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLN4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLP9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLQ7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLT0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLU9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLZ0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLZ3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XLZ7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XM06	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XM21	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XM32	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XM44	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XM45	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XM81	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XM95	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMD0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMF0	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMF3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMF7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMG6	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMJ1	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMJ8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XML7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMR4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMS4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMS5	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMT9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMV9	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMW3	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMW4	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMW7	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XMY8	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XN08	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
B1XN10	N/A,,N/A,,N/A,,N/A,,N/A,,N/A
