Protein	Accession
A0A0H3M7U4	BCG_2744
A0A0H3M7V7	BCG_2144
A0A0H3M7V8	BCG_2766
A0A0H3M7W0	BCG_2162c
A0A0H3M7W2	BCG_2977
A0A0H3M7W9	BCG_2168c
A0A0H3M7X4	BCG_0422c
A0A0H3M7Y1	BCG_3007c
A0A0H3M807	BCG_0442
A0A0H3M808	BCG_0459c
A0A0H3M812	BCG_3069
A0A0H3M819	BCG_0465c
A0A0H3M828	BCG_2220c
A0A0H3M839	BCG_2235
A0A0H3M854	BCG_2246c
A0A0H3M855	BCG_3116
A0A0H3M872	BCG_2261
A0A0H3M887	BCG_2281c
A0A0H3M8B0	BCG_0524
A0A0H3M8B1	BCG_2957
A0A0H3M8B9	BCG_0546c
A0A0H3M8C2	BCG_3185c
A0A0H3M8C4	BCG_2968c
A0A0H3M8D6	BCG_3190c
A0A0H3M8D8	BCG_0582
A0A0H3M8D9	BCG_3205
A0A0H3M8G7	BCG_0592c
A0A0H3M8I0	BCG_0650
A0A0H3M8I5	BCG_2387c
A0A0H3M8I8	BCG_2393c
A0A0H3M8J5	BCG_0675c
A0A0H3M8L2	BCG_0687
A0A0H3M8M4	BCG_3062c
A0A0H3M8M5	BCG_0737
A0A0H3M8N3	BCG_3073c
A0A0H3M8R2	BCG_2453c
A0A0H3M8R9	BCG_3115
A0A0H3M8S5	BCG_3126c
A0A0H3M8T0	BCG_2495c
A0A0H3M8T6	BCG_2501c
A0A0H3M8U8	BCG_2507c
A0A0H3M8V5	BCG_3163
A0A0H3M8V9	BCG_3184c
A0A0H3M8W1	BCG_3194
A0A0H3M902	BCG_0870
A0A0H3M918	BCG_3457
A0A0H3M924	BCG_2609c
A0A0H3M938	BCG_0950c
A0A0H3M941	BCG_3492c
A0A0H3M949	BCG_2636c
A0A0H3M957	BCG_3305c
A0A0H3M966	BCG_3515
A0A0H3M967	BCG_3371c
A0A0H3M978	BCG_1010
A0A0H3M9A4	BCG_1020c
A0A0H3M9A9	BCG_3409c
A0A0H3M9B4	BCG_3573c
A0A0H3M9D1	BCG_3578c
A0A0H3M9E6	BCG_3605c
A0A0H3M9F1	BCG_2764c
A0A0H3M9G9	BCG_1115
A0A0H3M9I9	BCG_1135
A0A0H3M9N5	BCG_3491c
A0A0H3M9Q6	BCG_3557c
A0A0H3M9R4	BCG_3745c
A0A0H3M9R5	BCG_1245
A0A0H3M9U0	BCG_3755c
A0A0H3M9U1	BCG_2896
A0A0H3M9U9	BCG_3781c
A0A0H3M9V1	BCG_1282
A0A0H3M9W9	BCG_2909c
A0A0H3M9X1	BCG_2938
A0A0H3M9X2	BCG_3629
A0A0H3M9X3	BCG_3807
A0A0H3M9Y5	BCG_2943c
A0A0H3M9Y6	BCG_1325c
A0A0H3M9Z4	BCG_3648c
A0A0H3M9Z9	BCG_1335c
A0A0H3MA19	BCG_3668c
A0A0H3MA24	BCG_0251
A0A0H3MA47	BCG_3855
A0A0H3MA58	BCG_3876c
A0A0H3MA65	BCG_3724c
A0A0H3MA76	BCG_3060c
A0A0H3MA81	BCG_1449
A0A0H3MAA5	BCG_1461c
A0A0H3MAA7	BCG_3093c
A0A0H3MAB7	BCG_0352
A0A0H3MAC0	BCG_1504c
A0A0H3MAC3	BCG_1510c
A0A0H3MAD3	BCG_0380
A0A0H3MAE6	BCG_3965
A0A0H3MAE7	BCG_0424
A0A0H3MAE9	BCG_3780
A0A0H3MAF8	BCG_0429c
A0A0H3MAG0	BCG_0449c
A0A0H3MAG2	BCG_1573
A0A0H3MAG4	BCG_3156c
A0A0H3MAG8	BCG_1578c
A0A0H3MAH9	BCG_3166
A0A0H3MAK0	BCG_1599
A0A0H3MAK2	BCG_0520c
A0A0H3MAK4	BCG_0526
A0A0H3MAK5	BCG_0533c
A0A0H3MAK6	BCG_0538
A0A0H3MAL0	BCG_0543
A0A0H3MAQ9	BCG_3207c
A0A0H3MAR7	BCG_3263c
A0A0H3MAR8	BCG_3275c
A0A0H3MAT3	BCG_1692
A0A0H3MAU2	BCG_3298
A0A0H3MAU9	BCG_0678c
A0A0H3MAV4	BCG_3912
A0A0H3MAV9	BCG_0696c
A0A0H3MAW1	BCG_0707c
A0A0H3MAW6	BCG_3923
A0A0H3MB17	BCG_3928
A0A0H3MB30	BCG_0813c
A0A0H3MB40	BCG_1819
A0A0H3MB56	BCG_1829
A0A0H3MB60	BCG_1845
A0A0H3MB66	BCG_3471
A0A0H3MB70	BCG_1855
A0A0H3MB83	BCG_1862
A0A0H3MB89	BCG_1880c
A0A0H3MB94	BCG_3512c
A0A0H3MBD1	BCG_1901c
A0A0H3MBD5	BCG_1945c
A0A0H3MBE3	BCG_1951c
A0A0H3MBF0	BCG_0947
A0A0H3MBG5	BCG_0955c
A0A0H3MBG7	BCG_0975c
A0A0H3MBJ4	BCG_3607c
A0A0H3MBK0	BCG_3652c
A0A0H3MBK5	BCG_3662c
A0A0H3MBL6	BCG_0980
A0A0H3MBN3	BCG_3687c
A0A0H3MBP1	BCG_2066c
A0A0H3MBR3	BCG_3727
A0A0H3MBS4	BCG_2116c
A0A0H3MBT3	BCG_3742
A0A0H3MBU7	BCG_3752
A0A0H3MBV8	BCG_1070
A0A0H3MBW3	BCG_3783
A0A0H3MBX2	BCG_3788
A0A0H3MBX6	BCG_2209
A0A0H3MBZ0	BCG_2214c
A0A0H3MBZ9	BCG_1101c
A0A0H3MC10	BCG_3841
A0A0H3MC15	BCG_1127c
A0A0H3MC20	BCG_3857
A0A0H3MC34	BCG_3862c
A0A0H3MC44	BCG_2260
A0A0H3MC47	BCG_2270
A0A0H3MC48	BCG_1172
A0A0H3MC59	BCG_2275c
A0A0H3MC64	BCG_3904
A0A0H3MC72	BCG_1192
A0A0H3MCA7	BCG_3921c
A0A0H3MCC0	BCG_3967
A0A0H3MCD2	BCG_1278c
A0A0H3MCE9	BCG_2347c
A0A0H3MCF3	BCG_2368
A0A0H3MCH2	BCG_2373
A0A0H3MCI2	BCG_1332c
A0A0H3MCI6	BCG_2397c
A0A0H3MCK0	BCG_2402c
A0A0H3MCL7	BCG_2418
A0A0H3MCP0	BCG_1389c
A0A0H3MCQ3	BCG_2478
A0A0H3MCR5	BCG_2494c
A0A0H3MCS0	BCG_1438c
A0A0H3MCU0	BCG_2521c
A0A0H3MCV3	BCG_1463
A0A0H3MCW1	BCG_1475
A0A0H3MCX2	BCG_1483
A0A0H3MCY2	BCG_2590
A0A0H3MCY6	BCG_1506c
A0A0H3MD07	BCG_2613
A0A0H3MD15	BCG_2646c
A0A0H3MD23	BCG_1538
A0A0H3MD27	BCG_1550
A0A0H3MD57	BCG_1555
A0A0H3MD60	BCG_1585
A0A0H3MD77	BCG_2709c
A0A0H3MDA4	BCG_2734c
A0A0H3MDB6	BCG_1630c
A0A0H3MDF0	BCG_1646c
A0A0H3MDF4	BCG_1664
A0A0H3MDG1	BCG_1669
A0A0H3MDI0	BCG_1674
A0A0H3MDJ0	BCG_2842c
A0A0H3MDJ5	BCG_1714
A0A0H3MDN1	BCG_2866c
A0A0H3MDN2	BCG_1735
A0A0H3MDQ0	BCG_2942c
A0A0H3MDQ6	BCG_2970c
A0A0H3MDR2	BCG_2988c
A0A0H3MDR9	BCG_1758
A0A0H3MDS3	BCG_3017c
A0A0H3MDU1	BCG_3022
A0A0H3MDV3	BCG_1786
A0A0H3MDW6	BCG_3070c
A0A0H3MDX0	BCG_1801
A0A0H3MDX6	BCG_1806c
A0A0H3ME13	BCG_1816
A0A0H3ME35	BCG_1858
A0A0H3ME37	BCG_1898
A0A0H3ME46	BCG_3181
A0A0H3ME51	BCG_1908c
A0A0H3ME56	BCG_1913
A0A0H3ME82	BCG_1918c
A0A0H3ME92	BCG_3228
A0A0H3MEA0	BCG_3238
A0A0H3MEB7	BCG_3262c
A0A0H3MED5	BCG_3285c
A0A0H3MEG2	BCG_3302
A0A0H3MEH0	BCG_3373
A0A0H3MEH6	BCG_2043c
A0A0H3MEN6	BCG_2048c
A0A0H3MEN7	BCG_2112c
A0A0H3MEQ5	BCG_3437c
A0A0H3MET2	BCG_3458c
A0A0H3MEV1	BCG_2171c
A0A0H3MEX2	BCG_3516c
A0A0H3MF00	BCG_3553
A0A0H3MF18	BCG_3594c
A0A0H3MF83	BCG_3611
A0A0H3MFB2	BCG_3686
A0A0H3MFE2	BCG_3721c
A0A0H3MFE4	BCG_2394c
A0A0H3MFG4	BCG_3751
A0A0H3MFH8	BCG_3770
A0A0H3MFK2	BCG_3787
A0A0H3MFQ3	BCG_3813
A0A0H3MFQ9	BCG_3861c
A0A0H3MFR0	BCG_3867c
A0A0H3MFR6	BCG_2539c
A0A0H3MFV3	BCG_2545c
A0A0H3MFX3	BCG_2587
A0A0H3MFX4	BCG_3935c
A0A0H3MFY3	BCG_2610c
A0A0H3MG92	BCG_3945c
A0A0H3MGE2	BCG_2760c
A0A0H3MGI9	BCG_2799c
A0A0H3MGQ7	BCG_2861c
A0A0H3MGR2	BCG_2956
A0A0H3MGY7	BCG_2962c
A0A0H3MH40	BCG_3067c
A0A0H3MH77	BCG_3124c
A0A0H3MH87	BCG_3162
A0A0H3MH99	BCG_3177
A0A0H3MHD1	BCG_3188c
A0A0H3MHD6	BCG_3225c
A0A0H3MHF4	BCG_3230
A0A0H3MHJ0	BCG_3264
A0A0H3MHJ6	BCG_3299
A0A0H3MHS0	BCG_3304c
A0A0H3MHY3	BCG_3414c
A0A0H3MI19	BCG_3450c
A0A0H3MI44	BCG_3490c
A0A0H3MI89	BCG_3513c
A0A0H3MIE5	BCG_3556c
A0A0H3MIH3	BCG_3608c
A0A0H3MII2	BCG_3638c
A0A0H3MIK1	BCG_3653c
A0A0H3MJ62	BCG_3678c
A0A0H3MJ88	BCG_3842
A0A0H3MJA4	BCG_3863c
A0A0H3MJE2	BCG_3879
A0A0H3MJE7	BCG_3917c
A0A0H3MJH3	BCG_3922c
A0A0J4N9D7	BCG_3942c
A0A0J4RI30	APT98_14870;;SAMEA3531848_03016;;SAMEA3531884_03521
A0A0J4TJB2	APT98_05540;;SAMEA3531848_01800;;SAMEA3531884_05150
A0A0J5CNL8	APT98_29235;;SAMEA3531848_00762;;SAMEA3531884_02606
A0A0J6UPB2	AR325_10265;;ERS381490_03519;;ERS381446_02171;;AYJ10_00495
A0A0J9WZ66	NP51_03430;;PY66_01050;;PY91_02255;;PY63_06900
A0A0N0VCJ2	N/A
A0A0N7KW54	ERS132406_02021;;ERS132440_00283;;ERS132370_00869;;ERS132457_01264;;ERS132444_01760;;ERS132458_01384;;ERS132441_01777;;ERS132502_01843;;ERS132536_01000;;XK26_09385;;WQ51_01785
A0A0P0YPS5	N/A
A0A0P0YPU6	N/A
A0A0P0YPV3	N/A
A0A0P0YQF2	N/A
A0A0U5RPV0	N/A
A0A0U5RZY5	N/A
A0A0U5TCV6	ERS381490_00271
A0A0U8IEL9	ERS381490_00533
A0A0V9SPI3	ERS381490_01177
A0A0W8AWL7	PMK1_02983;;AB185_28040;;AGG09_06445;;BN49_1708;;SK89_01234;;SM87_01334;;APT98_01625;;BCB67_02620;;SAMEA2273575_04372;;SAMEA2273624_00418;;SAMEA2273639_00782;;SAMEA3531778_02019;;SAMEA3531848_05033;;SAMEA3531884_01536
A0A140NDN5	PMK1_01049;;AGG09_17180;;BN49_0574;;SK89_04622;;BCB67_16770;;SAMEA3531778_03659
A0A140NDN6	ECBD_4159
A0A140NDV1	ECBD_2613
A0A160PV21	N/A
A0A169AX83	BN49_4216
A0A193SCD4	SAMEA3531848_00235;;SAMEA3531778_01361
A0A1C0C6X9	N/A
A0A1C0DP85	AN699_0205855;;AN668_0206745;;AN655_0205530;;AN698_0203010
A0A1C0DZB6	AN699_0200400;;AN668_0205405;;AN655_0202980;;AN698_0206455
A0A1C0KL46	AN699_0221395;;AN668_0220940;;AN698_0220235;;AN655_0222570
A0A1C0PG74	AN699_0220770;;AN668_0219655;;AN698_0219290;;AN655_0221725
A0A1C0RDT3	AN699_0201395;;AN668_0201840;;AN698_0202235;;AN655_0201600
A0A1C3HJY9	AN699_0205750;;AN668_0206850;;AN655_0205425;;AN698_0202905
A0A1C3PX33	N/A
A0A1J7G277	SAMEA3531848_02306
A0A1J7W1Z7	SK89_01769
A0A1J7WFJ7	N/A
A0A1L9C1G9	N/A
A0A1L9C1T0	N/A
A0A1L9C1T3	N/A
A0A1L9C1T4	N/A
A0A1L9C1U6	N/A
A0A1L9C1W0	N/A
A0A1L9C1W6	N/A
A0A1L9C1Z1	N/A
A0A1L9C1Z3	N/A
A0A1L9C200	N/A
A0A1L9C223	N/A
A0A1L9C250	N/A
A0A1L9C283	N/A
A0A1L9C285	N/A
A0A1L9C287	N/A
A0A1L9C2B1	N/A
A0A1L9C2B8	N/A
A0A1L9C2B9	N/A
A0A1L9C2K4	N/A
A0A1L9C2L4	Z3449
A0A1L9C2M6	SYNPCC7002_A2508
A0A1L9C2R5	N/A
A0A1L9C2S5	N/A
A0A1L9C2T8	N/A
A0A1L9C2Y6	N/A
A0A1L9C305	N/A
A0A1L9C310	N/A
A0A1L9C334	N/A
A0A1L9C366	N/A
A0A1L9C372	N/A
A0A1L9C383	N/A
A0A1L9C392	N/A
A0A1L9C3A7	N/A
A0A1L9C3B3	N/A
A0A1L9C3C4	N/A
A0A1L9C3D6	N/A
A0A1L9C3E7	N/A
A0A1L9C3J6	N/A
A0A1L9C3K4	N/A
A0A1L9C3L2	N/A
A0A1L9C3M7	N/A
A0A1L9C3N6	N/A
A0A1L9C3N9	N/A
A0A1L9C3Q0	N/A
A0A1L9C3Q1	N/A
A0A1L9C3S3	N/A
A0A1L9C3W4	N/A
A0A1L9C3W7	N/A
A0A1L9C3X7	N/A
A0A1L9C3X8	N/A
A0A1L9C423	N/A
A0A1L9C432	N/A
A0A1L9C435	N/A
A0A1L9C440	N/A
A0A1L9C444	N/A
A0A1L9C452	N/A
A0A1L9C456	N/A
A0A1L9C459	N/A
A0A1L9C471	N/A
A0A1L9C491	N/A
A0A1L9C493	N/A
A0A1L9C4C3	N/A
A0A1L9C4C9	N/A
A0A1L9C4D6	N/A
A0A1L9C4D8	N/A
A0A1L9C4E5	N/A
A0A1L9C4E7	N/A
A0A1L9C4F4	N/A
A0A1L9C4G4	N/A
A0A1L9C4H5	N/A
A0A1L9C4J6	N/A
A0A1L9C4L4	N/A
A0A1L9C4L6	N/A
A0A1L9C4L9	N/A
A0A1L9C4M2	N/A
A0A1L9C4N8	N/A
A0A1L9C4R4	N/A
A0A1L9C4R9	N/A
A0A1L9C4V8	N/A
A0A1L9C511	N/A
A0A1L9C516	N/A
A0A1L9C556	N/A
A0A1L9C599	N/A
A0A1L9C5B0	N/A
A0A1L9C5B6	N/A
A0A1L9C5D2	N/A
A0A1L9C5D4	N/A
A0A1L9C5E8	N/A
A0A1L9C5F9	N/A
A0A1L9C5I8	N/A
A0A1L9C5K6	N/A
A0A1L9C5L7	N/A
A0A1L9C5L9	N/A
A0A1L9C5M9	N/A
A0A1L9C5N6	N/A
A0A1L9C5N7	N/A
A0A1L9C5N8	N/A
A0A1L9C5P0	N/A
A0A1L9C5P6	N/A
A0A1L9C5R2	N/A
A0A1L9C5S7	N/A
A0A1L9C5T3	N/A
A0A1L9C5V9	N/A
A0A1L9C624	N/A
A0A1L9C642	N/A
A0A1L9C646	N/A
A0A1L9C647	N/A
A0A1L9C669	N/A
A0A1L9C696	N/A
A0A1L9C6A3	N/A
A0A1L9C6A5	N/A
A0A1L9C6C2	N/A
A0A1L9C6C3	N/A
A0A1L9C6C8	N/A
A0A1L9C6G0	N/A
A0A1L9C6H3	N/A
A0A1L9C6H7	N/A
A0A1L9C6I3	N/A
A0A1L9C6K3	N/A
A0A1L9C6L9	N/A
A0A1L9C6P0	N/A
A0A1L9C6P7	N/A
A0A1L9C6P8	N/A
A0A1L9C6S6	N/A
A0A1L9C6S9	N/A
A0A1L9C6U3	N/A
A0A1L9C6U5	N/A
A0A1L9C6V7	N/A
A0A1L9C6W4	N/A
A0A1L9C727	N/A
A0A1L9C733	N/A
A0A1L9C787	N/A
A0A1L9C794	N/A
A0A1L9C7C2	N/A
A0A1L9C7D3	N/A
A0A1L9C7D5	N/A
A0A1L9C7E1	N/A
A0A1L9C7G2	N/A
A0A1L9C7G8	N/A
A0A1L9C7I4	N/A
A0A1L9C7J6	N/A
A0A1L9C7J8	N/A
A0A1L9C7L3	N/A
A0A1W6TFG2	N/A
A0A1W6TXT0	N/A
A0A1Y0PRK9	N/A
A0A1Y0PSC7	N/A
A0A1Y0PSP7	N/A
A0A1Y0PX46	N/A
A0A1Y0PYX9	N/A
A0A1Y0PZC4	N/A
A0A1Y0Q0X1	N/A
A0A1Y0Q1Y2	N/A
A0A1Y0Q2H3	N/A
A0A1Y0Q5A7	N/A
A0A1Y0Q5B5	N/A
A0A1Y0Q5T0	N/A
A0A1Y0Q6J4	N/A
A0A1Y0Q7E7	N/A
A0A1Y0QAF1	N/A
A0A221FR80	N/A
A0A232JHL2	N/A
A0A249N0Z0	N/A
A0A249N188	N/A
A0A249N268	N/A
A0A249N2U1	N/A
A0A249N3F1	N/A
A0A249N4D0	N/A
A0A249N4E5	N/A
A0A249N7N0	N/A
A0A249N865	N/A
A0A2A2XF63	N/A
A0A2D1HGK0	N/A
A0A2D1HLQ6	N/A
A0A2D1HNA1	N/A
A0A2G3ESE2	N/A
A0A2I8JJ96	N/A
A0A2K2IQM3	N/A
A0A2K2IYQ5	N/A
A0A2L1XSV0	N/A
A0A2S4MSA7	N/A
A0A2S4MSB0	N/A
A0A2S4MSL1	N/A
A0A2S4MST5	N/A
A0A2S4MTC3	N/A
A0A2S4MTW3	N/A
A0A2S4MTW6	N/A
A0A2S4MUX3	N/A
A0A2S4MVT6	N/A
A0A2S4MVZ4	N/A
A0A2S4MW07	N/A
A0A2S4MWH0	N/A
A0A2S4MWS5	N/A
A0A2S4MX43	N/A
A0A2S4MX48	N/A
A0A2S4MXM8	N/A
A0A2S4MY18	N/A
A0A2S4MY63	N/A
A0A2S4MY66	N/A
A0A2S4MYB8	N/A
A0A2S4MYE3	N/A
A0A2S4MYQ0	N/A
A0A2S4MZF3	N/A
A0A2S4N046	N/A
A0A2S4N062	N/A
A0A2S4N0X4	N/A
A0A2S4N1A1	N/A
A0A2S4N1S8	N/A
A0A2S4N2L0	N/A
A0A2S4N3Q4	N/A
A0A2S4N3W2	N/A
A0A2S8EHG0	N/A
A0A2S8TUG1	N/A
A0A2T7VZH9	N/A
A0A2W0I5Q2	N/A
A0A2W0ISL7	N/A
A0A2W0ITA0	N/A
A0A2W0IWE8	N/A
A0A2W0NPM7	N/A
A0A2W0T4A3	N/A
A0A2W0U5L8	N/A
A0A2W0YG69	N/A
A0A2W0ZR09	N/A
A0A2X3GUD7	N/A
A0A2X3HFU8	N/A
A0A2X3HGK1	N/A
A0A2X3HRY5	N/A
A0A2X3IF64	N/A
A0A2X3IQU0	N/A
A0A2X3IQX4	N/A
A0A2X3IR88	N/A
A0A2X3IUK5	N/A
A0A2Y4XEU7	N/A
A0A384K8E5	SF4255
A0A384K9A1	N/A
A0A384KCS0	N/A
A0A384KEN1	N/A
A0A384KES1	N/A
A0A384KG73	N/A
A0A384KG77	N/A
A0A384KIQ0	N/A
A0A384KJH6	N/A
A0A384KN81	N/A
A0A384KQF8	N/A
A0A384KRI4	N/A
A0A384KRU9	N/A
A0A384KU37	N/A
A0A384L0X3	SF3459;;S4303
A0A384L159	N/A
A0A384L1N9	N/A
A0A384L4I2	N/A
A0A384L4W3	SF_p0189
A0A384L571	N/A
A0A384L8I3	N/A
A0A384L9V6	N/A
A0A384LJ77	SF3849;;S3911
A0A384LKD4	N/A
A0A384LMI5	SF3553;;S4214
A0A384LPJ8	N/A
A0A384LPW3	N/A
A0A384LQF0	N/A
A0A384LQK7	N/A
A0A399DPS6	N/A
A0A399DRI1	N/A
A0A399DS01	N/A
A0A399DUG9	N/A
A0A399DYN6	N/A
A0A399E4K3	N/A
A0A399E6K4	N/A
A0A399E757	N/A
A0A399E964	N/A
A0A399EAK2	N/A
A0A4Z9	N/A
A0AF17	RPA1548
A0AF43	lwe0181
A0AHG7	lwe0207
A0AIK3	lwe1031
A0AK46	lwe1417
A0AL98	lwe1960
A0ALE4	lwe2362
A0ALP2	lwe2408
A0PNL7	lwe2506
A0QNE2	MUL_1393
A0QNF6	MSMEG_0007;;MSMEI_0009
A0QNG1	MSMEG_0024;;MSMEI_0026
A0QNG2	MSMEG_0028;;MSMEI_0031
A0QNG7	MSMEG_0030;;MSMEI_0032
A0QNI2	MSMEG_0035
A0QNJ7	MSMEG_0052
A0QP02	MSMEG_0067;;MSMEI_0068
A0QP27	MSMEG_0225;;MSMEI_0218
A0QP93	MSMEG_0250;;MSMEI_0243
A0QPF7	MSMEG_0317
A0QPN2	MSMEG_0382;;MSMEI_0375
A0QQ61	MSMEG_0457;;MSMEI_0444
A0QQB2	MSMEG_0639;;MSMEI_0623
A0QQH1	MSMEG_0692;;MSMEI_0675
A0QQI7	MSMEG_0753;;MSMEI_0737
A0QR05	MSMEG_0769;;MSMEI_0753
A0QRP3	MSMEG_0940;;MSMEI_0917
A0QRV7	MSMEG_1189
A0QS52	MSMEG_1254;;MSMEI_1219
A0QS80	MSMEG_1353;;MSMEI_1315
A0QSD6	MSMEG_1382;;MSMEI_1343
A0QSD7	MSMEG_1441;;MSMEI_1405
A0QSG6	MSMEG_1442;;MSMEI_1406
A0QSP8	MSMEG_1472;;MSMEI_1436
A0QSQ1	MSMEG_1556;;MSMEI_1519
A0QSS3	MSMEG_1559;;MSMEI_1521
A0QSU3	MSMEG_1582;;MSMEI_1544
A0QSY1	MSMEG_1602
A0QT33	MSMEG_1642
A0QUA6	MSMEG_1695;;MSMEI_1655
A0QUX6	MSMEG_2136;;MSMEI_2087
A0QV26	MSMEG_2372;;MSMEI_2312
A0QV37	MSMEG_2424
A0QVT6	MSMEG_2435;;MSMEI_2374
A0QVY1	MSMEG_2690
A0QVY4	MSMEG_2736;;MSMEI_2669
A0QVZ3	MSMEG_2739;;MSMEI_2672
A0QW11	MSMEG_2750;;MSMEI_2683
A0QWG9	MSMEG_2768;;MSMEI_2699
A0QWQ9	MSMEG_2938;;MSMEI_2864
A0QWR2	MSMEG_3030;;MSMEI_2955
A0QWS9	MSMEG_3032;;MSMEI_2958
A0QWV0	MSMEG_3051;;MSMEI_2976
A0QYB1	MSMEG_3072;;MSMEI_2995
A0QYE8	MSMEG_3596;;MSMEI_3514
A0QYF6	MSMEG_3634;;MSMEI_3548
A0QYG2	MSMEG_3641;;MSMEI_3556
A0QYQ0	MSMEG_3647;;MSMEI_3561
A0QYR3	MSMEG_3739;;MSMEI_3649
A0R006	MSMEG_3754;;MSMEI_3665
A0R012	MSMEG_4217;;MSMEI_4119
A0R049	MSMEG_4222
A0R054	MSMEG_4260;;MSMEI_4160
A0R082	MSMEG_4265;;MSMEI_4165
A0R0F3	MSMEG_4293;;MSMEI_4192
A0R0W9	MSMEG_4366
A0R2J4	MSMEG_4535;;MSMEI_4422
A0R2U6	MSMEG_5136;;MSMEI_5004
A0R2V4	MSMEG_5238;;MSMEI_5100
A0R2X1	MSMEG_5246;;MSMEI_5108
A0R2X3	MSMEG_5263;;MSMEI_5125
A0R316	MSMEG_5265;;MSMEI_5127
A0R368	MSMEG_5308
A0R3C1	MSMEG_5362;;MSMEI_5215
A0R3K5	MSMEG_5418
A0R3L2	MSMEG_5505;;MSMEI_5351
A0R3M3	MSMEG_5513
A0R3M6	MSMEG_5524;;MSMEI_5372
A0R4B3	MSMEG_5527;;MSMEI_5375
A0R4G4	MSMEG_5773;;MSMEI_5619
A0R4R5	MSMEG_5824;;MSMEI_5666
A0R574	MSMEG_5926
A0R582	MSMEG_6091;;MSMEI_5933
A0R5B0	MSMEG_6099
A0R5D6	MSMEG_6127;;MSMEI_5968
A0R5R8	MSMEG_6154;;MSMEI_5997
A0R5Z0	MSMEG_6288;;MSMEI_6123
A0R6Z6	MSMEG_6365;;MSMEI_6197
A0R7H5	MSMEG_6726;;MSMEI_6543
A0R7J1	MSMEG_6917;;MSMEI_6729
A0R7J6	MSMEG_6935
A1JS01	MSMEG_6941;;MSMEI_6749
A1JS57	YE3898
A1KEI6	YE3930
A1KEM3	BCG_0048c
A1KEN2	BCG_0086
A1KEU8	BCG_0095
A1KF76	BCG_0161
A1KFE4	BCG_0293c
A1KFH2	BCG_0361
A1KFH3	BCG_0389
A1KFQ1	BCG_0390
A1KFR2	BCG_0468c
A1KFV6	BCG_0479
A1KG00	BCG_0523
A1KG35	BCG_0567
A1KG43	BCG_0603
A1KGB4	BCG_0611c
A1KGE8	BCG_0683
A1KGF0	BCG_0717
A1KGG3	BCG_0719
A1KGG5	BCG_0732
A1KGI6	BCG_0734
A1KGI8	BCG_0755
A1KGJ6	BCG_0757
A1KGL4	BCG_0765
A1KGY5	BCG_0783
A1KH33	BCG_0905c
A1KH91	BCG_0953
A1KHA2	BCG_1011
A1KHE8	BCG_1021
A1KHE9	BCG_1067
A1KHL8	BCG_1068
A1KHN9	BCG_1138c
A1KHS4	BCG_1159c
A1KI95	BCG_1194c
A1KI97	BCG_1367
A1KIM7	BCG_1369
A1KIN7	BCG_1499
A1KIS1	BCG_1509c
A1KJ01	BCG_1543
A1KJ27	BCG_1623
A1KJD0	BCG_1649
A1KJN3	BCG_1752
A1KJP9	BCG_1856
A1KJR2	BCG_1872c
A1KJR4	BCG_1886
A1KJX3	BCG_1888
A1KKE0	BCG_1947c
A1KKH3	BCG_2114c
A1KKJ6	BCG_2147c
A1KKJ8	BCG_2170c
A1KKK8	BCG_2172c
A1KKK9	BCG_2182c
A1KKQ5	BCG_2183c
A1KL43	BCG_2229
A1KLE1	BCG_2367c
A1KLF8	BCG_2465c
A1KLQ3	BCG_2482c
A1KLT2	BCG_2578c
A1KLV6	BCG_2607c
A1KMC6	BCG_2631c
A1KMI1	BCG_2801c
A1KMI2	BCG_2858c
A1KML3	BCG_2859c
A1KML5	BCG_2890c
A1KMM4	BCG_2892c
A1KMQ3	BCG_2901c
A1KMU5	BCG_2930c
A1KMW6	BCG_2972c
A1KNQ0	BCG_2993
A1KP49	BCG_3277c
A1KP65	BCG_3428c
A1KPA9	BCG_3444
A1KPC8	BCG_3488c
A1KPE4	BCG_3507c
A1KPE8	BCG_3523c
A1KPR8	BCG_3527c
A1KPS2	BCG_3647c
A1KQF8	BCG_3651
A1KQG0	BCG_3886c
A1KQH3	BCG_3888c
A2RN46	BCG_3901c
A2T9S8	llmg_2167
A3M1G4	N/A
A3M8K2	A1S_0288
A4F5N2	A1S_2840
A4F5N9	SACE_0001
A4F5R2	SACE_0010
A4F5S3	SACE_0033
A4F5S9	SACE_0044
A4F5W8	SACE_0050
A4F5Z4	SACE_0089
A4F627	SP_1084
A4F672	SACE_0149
A4F673	Z5610
A4F696	SACE_0194
A4F6D0	SACE_0218
A4F6H7	SACE_0254
A4F6I7	SACE_0302
A4F6L2	SACE_0312
A4F6R6	Z4784;;BAB37690
A4F6T8	SACE_0337
A4F6U4	SACE_0414
A4F6X7	SACE_0420
A4F6Y5	Z1860
A4F709	SACE_0453
A4F741	Z5514;;BAB38308
A4F749	SACE_0484
A4F761	Z2536
A4F779	SACE_0539
A4F7E0	SACE_0527
A4F7G2	SACE_0619
A4F7J1	Z3258;;BAB36321
A4F7L1	SACE_0641
A4F7L3	Z3224;;BAB36288
A4F7T4	SACE_0695
A4F7U1	SACE_0693
A4F7V1	SACE_0774
A4F7Y7	SACE_0784
A4F7Z3	SACE_0821
A4F812	SACE_0827
A4F831	Z4078
A4F834	SACE_0868
A4F864	SACE_0846
A4F866	SACE_0905
A4F8H9	SACE_0907
A4F8K1	Z0994;;BAB34276
A4F8L7	SACE_1044
