Protein	PI.isoelectric.point...MW.molecular.weight.
A0A0H3M5W6	6.92,,22095.27
A0A0H3M5X7	5.81,,85319.67
A0A0H3M5Z5	6.15,,58064.12
A0A0H3M5Z7	5.55,,46182.03
A0A0H3M610	4.96,,54578.12
A0A0H3M624	10.99,,32368.55
A0A0H3M638	4.92,,13341
A0A0H3M639	5.55,,79309.46
A0A0H3M647	5.37,,95018.61
A0A0H3M648	4.95,,102449.1
A0A0H3M677	8.8,,38109.09
A0A0H3M694	5.12,,223858.99
A0A0H3M6A1	7.86,,16007.12
A0A0H3M6B2	9.07,,36820.88
A0A0H3M6B9	5.5,,129322.96
A0A0H3M6E1	6.91,,23182.89
A0A0H3M6F5	5.61,,111659.43
A0A0H3M6H3	9.54,,31331.32
A0A0H3M6I8	5.46,,51632.64
A0A0H3M6I9	4.83,,53231.87
A0A0H3M6J3	9.84,,60035.23
A0A0H3M6L3	5.05,,106459.28
A0A0H3M6N8	5.12,,62228.94
A0A0H3M6Q0	9.36,,27596.81
A0A0H3M6S7	5.63,,50698.18
A0A0H3M6T3	6.2,,56332.24
A0A0H3M6U0	10.85,,33004.22
A0A0H3M6U5	5.63,,100216.79
A0A0H3M6U9	5.45,,31652.14
A0A0H3M6V0	5.29,,46420.77
A0A0H3M6W3	5.1,,47825.01
A0A0H3M6Y7	5.5,,29634.89
A0A0H3M6Y9	9.12,,34986.1
A0A0H3M714	4.86,,24154.51
A0A0H3M719	9.46,,35271.3
A0A0H3M729	6.82,,83181.48
A0A0H3M737	5.23,,25232.9
A0A0H3M741	5.21,,48754.37
A0A0H3M745	6.02,,62997.51
A0A0H3M746	5.22,,66509.84
A0A0H3M751	4.87,,56003.37
A0A0H3M760	6.03,,60961.56
A0A0H3M763	6.07,,24174.28
A0A0H3M781	8.4,,50987.97
A0A0H3M782	6.14,,45453.67
A0A0H3M795	4.91,,94302.83
A0A0H3M7A7	6.85,,77483.37
A0A0H3M7A9	3.91,,91005.91
A0A0H3M7E0	4.88,,24626.34
A0A0H3M7E1	4.89,,17738.33
A0A0H3M7E6	5.15,,47760.41
A0A0H3M7F4	8.36,,34568.77
A0A0H3M7F7	5.16,,28072.71
A0A0H3M7G2	8.01,,59894.77
A0A0H3M7I8	8.41,,32220.86
A0A0H3M7K2	10.44,,29541.98
A0A0H3M7L7	5.04,,431541.22
A0A0H3M7N1	6.31,,59906.68
A0A0H3M7N2	5.39,,32441.61
A0A0H3M7R2	7.77,,29090.27
A0A0H3M7R3	7.8,,13501.16
A0A0H3M7R8	6.25,,8520.68
A0A0H3M7S4	6.26,,87775.94
A0A0H3M7T9	5.49,,36544.49
A0A0H3M7U1	6.19,,49796.09
A0A0H3M7U4	9.79,,52535.13
A0A0H3M7V7	4.63,,28223.01
A0A0H3M7V8	4.8,,28277.18
A0A0H3M7W0	6.21,,26554.25
A0A0H3M7W2	6.18,,33933.53
A0A0H3M7W9	5.22,,92568.29
A0A0H3M7X4	11.9,,21292.25
A0A0H3M7Y1	5.95,,63829.36
A0A0H3M807	8.71,,15131.41
A0A0H3M808	5.11,,37075.29
A0A0H3M812	11.14,,11970.92
A0A0H3M819	4.4,,12543.94
A0A0H3M828	11.6,,26829.59
A0A0H3M839	6.34,,39145.18
A0A0H3M854	6.26,,61645.48
A0A0H3M855	4,,12523.96
A0A0H3M872	5.04,,59847.6
A0A0H3M887	5.64,,47890.82
A0A0H3M8B0	5.4,,158746.05
A0A0H3M8B1	5.11,,34660.11
A0A0H3M8B9	5.16,,42518.25
A0A0H3M8C2	4.83,,218303.88
A0A0H3M8C4	6.67,,33379.86
A0A0H3M8D6	4.4,,55016.92
A0A0H3M8D8	6.82,,48053.03
A0A0H3M8D9	5.99,,34688.98
A0A0H3M8G7	4.75,,30472.08
A0A0H3M8I0	6.23,,40488.85
A0A0H3M8I5	5.54,,156762.14
A0A0H3M8I8	6.7,,61716.75
A0A0H3M8J5	9.65,,16956.41
A0A0H3M8L2	5.61,,36049.71
A0A0H3M8M4	4.9,,43017.79
A0A0H3M8M5	8.51,,58776.63
A0A0H3M8N3	9.14,,52272.55
A0A0H3M8R2	8.37,,32270.87
A0A0H3M8R9	8.83,,32792.43
A0A0H3M8S5	6.98,,15765.04
A0A0H3M8T0	9.64,,61741.98
A0A0H3M8T6	6,,120831.98
A0A0H3M8U8	5.22,,43344.21
A0A0H3M8V5	5.12,,23120.7
A0A0H3M8V9	6.23,,48439.64
A0A0H3M8W1	5.22,,27581.39
A0A0H3M902	4.82,,58802.04
A0A0H3M918	9.54,,47039.61
A0A0H3M924	6.11,,9920.1
A0A0H3M938	6.2,,18213.77
A0A0H3M941	9.04,,35160.41
A0A0H3M949	5.51,,44044.09
A0A0H3M957	5.71,,43196.53
A0A0H3M966	5.06,,40740.29
A0A0H3M967	6.15,,22415.74
A0A0H3M978	10.04,,22053.03
A0A0H3M9A4	5.13,,45541.85
A0A0H3M9A9	4.76,,52072.32
A0A0H3M9B4	5.41,,59740.54
A0A0H3M9D1	5.15,,13951.87
A0A0H3M9E6	8.6,,94406.53
A0A0H3M9F1	5.32,,40710.61
A0A0H3M9G9	5.17,,48635.21
A0A0H3M9I9	6.05,,21571.91
A0A0H3M9N5	10.1,,25610.86
A0A0H3M9Q6	8.89,,11032.68
A0A0H3M9R4	8.98,,104131.24
A0A0H3M9R5	4.91,,55888.84
A0A0H3M9U0	9.68,,74120.32
A0A0H3M9U1	5.61,,61923.37
A0A0H3M9U9	8.68,,16250.08
A0A0H3M9V1	6.62,,50916.11
A0A0H3M9W9	9.16,,68322.74
A0A0H3M9X1	4.85,,41080.73
A0A0H3M9X2	4.18,,12755.48
A0A0H3M9X3	5.17,,130581.28
A0A0H3M9Y5	5.73,,63730.28
A0A0H3M9Y6	5.49,,17907.37
A0A0H3M9Z4	6.58,,16447.69
A0A0H3M9Z9	6.83,,43016.27
A0A0H3MA19	5.58,,58903.08
A0A0H3MA24	9.83,,117502.04
A0A0H3MA47	10.39,,29290.94
A0A0H3MA58	5.04,,55977.52
A0A0H3MA65	4.91,,22153.87
A0A0H3MA76	10.35,,20835.11
A0A0H3MA81	4.83,,34052.66
A0A0H3MAA5	5.54,,58265.67
A0A0H3MAA7	5.09,,64129.9
A0A0H3MAB7	10.88,,18316.15
A0A0H3MAC0	4.96,,75540.68
A0A0H3MAC3	5.25,,43921.19
A0A0H3MAD3	10.29,,27171.42
A0A0H3MAE6	5.49,,116791.54
A0A0H3MAE7	6.22,,46852.84
A0A0H3MAE9	8.6,,50357.23
A0A0H3MAF8	5.52,,81577.39
A0A0H3MAG0	5.2,,63167.64
A0A0H3MAG2	5.62,,23294
A0A0H3MAG4	8.87,,45696.34
A0A0H3MAG8	5.86,,14385.67
A0A0H3MAH9	6.3,,15324.46
A0A0H3MAK0	9.32,,37048.05
A0A0H3MAK2	10.28,,46098.68
A0A0H3MAK4	9.53,,66188.2
A0A0H3MAK5	6.07,,34875.57
A0A0H3MAK6	9.39,,8507.73
A0A0H3MAL0	10.86,,16799.05
A0A0H3MAQ9	7.88,,50995.42
A0A0H3MAR7	5.34,,25279.34
A0A0H3MAR8	4.7,,41147.35
A0A0H3MAT3	6.83,,9750.17
A0A0H3MAU2	6.1,,119573.3
A0A0H3MAU9	8.82,,14708.67
A0A0H3MAV4	6.97,,54854.04
A0A0H3MAV9	11.35,,25111.05
A0A0H3MAW1	9.54,,38103.18
A0A0H3MAW6	6.02,,10618.03
A0A0H3MB17	5.1,,39747.68
A0A0H3MB30	9.8,,36961.2
A0A0H3MB40	6.39,,44178.13
A0A0H3MB56	8.54,,24806.6
A0A0H3MB60	5.5,,87315.5
A0A0H3MB66	5.56,,57520.54
A0A0H3MB70	4.29,,17250.91
A0A0H3MB83	10.56,,74182.55
A0A0H3MB89	8.93,,41555.59
A0A0H3MB94	6.98,,30405.01
A0A0H3MBD1	4.68,,12561.97
A0A0H3MBD5	9.54,,35755.17
A0A0H3MBE3	10.38,,53872.54
A0A0H3MBF0	4.97,,25253.93
A0A0H3MBG5	9.62,,39059.34
A0A0H3MBG7	6.15,,42715.41
A0A0H3MBJ4	5.83,,27001.83
A0A0H3MBK0	10.08,,12098.44
A0A0H3MBK5	5.26,,35841.53
A0A0H3MBL6	9.13,,39311.54
A0A0H3MBN3	6.63,,91384.9
A0A0H3MBP1	9.81,,18919.13
A0A0H3MBR3	5.68,,35299.96
A0A0H3MBS4	9.23,,34394.38
A0A0H3MBT3	11.29,,47687.2
A0A0H3MBU7	5.13,,58467.29
A0A0H3MBV8	9.15,,27367.45
A0A0H3MBW3	10.17,,111362.73
A0A0H3MBX2	9.41,,22420.14
A0A0H3MBX6	4.35,,30954.98
A0A0H3MBZ0	5.05,,36119.03
A0A0H3MBZ9	9.3,,71794.83
A0A0H3MC10	6.47,,64357.58
A0A0H3MC15	9.61,,117936.37
A0A0H3MC20	4.83,,186458.65
A0A0H3MC34	4.84,,30788.2
A0A0H3MC44	6.17,,32805.38
A0A0H3MC47	4.79,,38111.34
A0A0H3MC48	5.16,,28385.07
A0A0H3MC59	4.73,,20441.99
A0A0H3MC64	8.61,,42969.44
A0A0H3MC72	5.6,,53401.76
A0A0H3MCA7	6.91,,123535.66
A0A0H3MCC0	5.95,,33476.16
A0A0H3MCD2	6.64,,72835.46
A0A0H3MCE9	6.83,,67430.42
A0A0H3MCF3	5.95,,14416.92
A0A0H3MCH2	8.2,,62116
A0A0H3MCI2	5.31,,151601.94
A0A0H3MCI6	5.44,,40363.61
A0A0H3MCK0	5.69,,72734.05
A0A0H3MCL7	5.38,,78639.98
A0A0H3MCP0	5.4,,31532.81
A0A0H3MCQ3	6.65,,23301.68
A0A0H3MCR5	4.79,,22815.46
A0A0H3MCS0	5.38,,70592.23
A0A0H3MCU0	9.8,,69839.07
A0A0H3MCV3	7.76,,14330.47
A0A0H3MCW1	6.26,,35823.22
A0A0H3MCX2	5.14,,95476.69
A0A0H3MCY2	5.17,,25804.27
A0A0H3MCY6	5.11,,127343.79
A0A0H3MD07	5.66,,12321.72
A0A0H3MD15	4.57,,19601.11
A0A0H3MD23	6.12,,41282.29
A0A0H3MD27	5.3,,64744.37
A0A0H3MD57	5.68,,39620.04
A0A0H3MD60	5.35,,27215.67
A0A0H3MD77	4.41,,68939.66
A0A0H3MDA4	5.65,,48029.03
A0A0H3MDB6	9.23,,16894.49
A0A0H3MDF0	5.02,,22669.15
A0A0H3MDF4	5.97,,44668.57
A0A0H3MDG1	5.51,,15312.36
A0A0H3MDI0	6.19,,91046.75
A0A0H3MDJ0	9.29,,25877.27
A0A0H3MDJ5	9.64,,55634.6
A0A0H3MDN1	5.83,,42422.84
A0A0H3MDN2	5.18,,44031.25
A0A0H3MDQ0	8.82,,22587.04
A0A0H3MDQ6	5.33,,120423.73
A0A0H3MDR2	5.2,,27904.77
A0A0H3MDR9	4.8,,54554.29
A0A0H3MDS3	10.87,,23399.62
A0A0H3MDU1	8.2,,92153.23
A0A0H3MDV3	4.95,,13382.89
A0A0H3MDW6	9.28,,54996.56
A0A0H3MDX0	7.35,,52358.21
A0A0H3MDX6	5.28,,152799.68
A0A0H3ME13	8.81,,31935.32
A0A0H3ME35	6.1,,36631.67
A0A0H3ME37	8.83,,55342.22
A0A0H3ME46	9.76,,45327.55
A0A0H3ME51	11.3,,53429.17
A0A0H3ME56	9.19,,11789.12
A0A0H3ME82	3.49,,7383.83
A0A0H3ME92	9.13,,56703.12
A0A0H3MEA0	9.55,,34124.07
A0A0H3MEB7	4.88,,35309.45
A0A0H3MED5	6.19,,80565.68
A0A0H3MEG2	5.6,,56165.87
A0A0H3MEH0	5.46,,177814.63
A0A0H3MEH6	5.59,,35401.37
A0A0H3MEN6	6.95,,99636.09
A0A0H3MEN7	6.45,,93441.68
A0A0H3MEQ5	5.17,,30296.3
A0A0H3MET2	11.15,,56336.66
A0A0H3MEV1	6.32,,48199.24
A0A0H3MEX2	4.56,,5695.35
A0A0H3MF00	6.37,,27757.59
A0A0H3MF18	9.52,,17370.98
A0A0H3MF83	4.73,,18328.66
A0A0H3MFB2	9.97,,58943.61
A0A0H3MFE2	5.25,,183282.5
A0A0H3MFE4	5.47,,37936.43
A0A0H3MFG4	5.11,,88583.5
A0A0H3MFH8	8.86,,66325.9
A0A0H3MFK2	5.72,,30991.14
A0A0H3MFQ3	5.33,,56679.79
A0A0H3MFQ9	9.82,,68695.6
A0A0H3MFR0	6.07,,43365.92
A0A0H3MFR6	5.01,,326307.57
A0A0H3MFV3	5.89,,62123.79
A0A0H3MFX3	4.73,,12199.6
A0A0H3MFX4	8.87,,60267.12
A0A0H3MFY3	5.86,,29596.03
A0A0H3MG92	5.71,,29257.94
A0A0H3MGE2	4.72,,35392.82
A0A0H3MGI9	6.42,,37641.6
A0A0H3MGQ7	5.39,,193238.45
A0A0H3MGR2	5.05,,224395.95
A0A0H3MGY7	6.48,,63672.73
A0A0H3MH40	5.18,,30507.71
A0A0H3MH77	5.72,,49646.39
A0A0H3MH87	8.09,,27589.32
A0A0H3MH99	5.64,,35300.78
A0A0H3MHD1	6.99,,38132.93
A0A0H3MHD6	6.72,,10987.65
A0A0H3MHF4	11.3,,22657.81
A0A0H3MHJ0	6.98,,76495.14
A0A0H3MHJ6	6.1,,17773.67
A0A0H3MHS0	4.72,,149740.92
A0A0H3MHY3	6.36,,57270.92
A0A0H3MI19	7.91,,17389.48
A0A0H3MI44	6.98,,131866.05
A0A0H3MI89	9.41,,18006.87
A0A0H3MIE5	4.77,,35468.54
A0A0H3MIH3	5.01,,74578.22
A0A0H3MII2	5.6,,21791.75
A0A0H3MIK1	3.94,,19834.57
A0A0H3MJ62	4.76,,19516.03
A0A0H3MJ88	5.78,,69260.08
A0A0H3MJA4	6.29,,27241.82
A0A0H3MJE2	8.38,,55326.13
A0A0H3MJE7	5.6,,165944.12
A0A0H3MJH3	8.88,,53278.13
A0A0J4N9D7	4.83,,87060.45
A0A0J4RI30	9.05,,34387.61
A0A0J4TJB2	6.49,,24721.87
A0A0J5CNL8	5.21,,51605.5
A0A0J6UPB2	4.89,,26864.43
A0A0J9WZ66	5.05,,51430.22
A0A0N0VCJ2	4.55,,26212.16
A0A0N7KW54	5.39,,50310.11
A0A0P0YPS5	5.7,,43421.24
A0A0P0YPU6	9.11,,40585.09
A0A0P0YPV3	5.82,,78918.47
A0A0P0YQF2	9.35,,53345.7
A0A0U5RPV0	4.36,,23762.93
A0A0U5RZY5	5.12,,52051.68
A0A0U5TCV6	4.86,,105974.14
A0A0U8IEL9	5.95,,59025.61
A0A0V9SPI3	5.03,,20763.42
A0A0W8AWL7	9.84,,14304.97
A0A140NDN5	6,,52249.72
A0A140NDN6	6.22,,81259.71
A0A140NDV1	6.15,,15769.06
A0A160PV21	4.37,,77718.85
A0A169AX83	5.32,,50549.3
A0A193SCD4	5.51,,79523.24
A0A1C0C6X9	7.04,,72773.53
A0A1C0DP85	6.29,,22422.59
A0A1C0DZB6	5.2,,15618.55
A0A1C0KL46	5.38,,25087.47
A0A1C0PG74	6.25,,47705.96
A0A1C0RDT3	5.4,,43767.16
A0A1C3HJY9	5.13,,43195.42
A0A1C3PX33	5.46,,53529.98
A0A1J7G277	5.8,,49580.37
A0A1J7W1Z7	9.64,,50776.65
A0A1J7WFJ7	9.91,,16157.82
A0A1L9C1G9	4.49,,35475.17
A0A1L9C1T0	5.12,,46518.78
A0A1L9C1T3	5.55,,43613.74
A0A1L9C1T4	5.73,,58914.86
A0A1L9C1U6	4.76,,31486.8
A0A1L9C1W0	10.3,,4024.73
A0A1L9C1W6	3.58,,81638.25
A0A1L9C1Z1	4.8,,32002.44
A0A1L9C1Z3	5.71,,31102.02
A0A1L9C200	6.9,,20671.12
A0A1L9C223	5.98,,37537.1
A0A1L9C250	4.84,,7855.03
A0A1L9C283	4.4,,12653.42
A0A1L9C285	5.13,,45251.17
A0A1L9C287	5.13,,22010.21
A0A1L9C2B1	7.04,,33172.96
A0A1L9C2B8	4.64,,49607.95
A0A1L9C2B9	5.04,,33923.06
A0A1L9C2K4	8.21,,31730.42
A0A1L9C2L4	9.71,,17649.93
A0A1L9C2M6	4.8,,30151.52
A0A1L9C2R5	9.22,,28369.14
A0A1L9C2S5	9.88,,15442.91
A0A1L9C2T8	10.32,,11093.84
A0A1L9C2Y6	5.08,,21531.73
A0A1L9C305	7.73,,23547.23
A0A1L9C310	4.89,,78624.44
A0A1L9C334	5.28,,19969.2
A0A1L9C366	4.56,,17658.24
A0A1L9C372	4.16,,22757.8
A0A1L9C383	4.99,,49191.04
A0A1L9C392	5.64,,30228.31
A0A1L9C3A7	10.39,,16401.06
A0A1L9C3B3	5.21,,20556.54
A0A1L9C3C4	4.52,,50426.52
A0A1L9C3D6	5.47,,54407.16
A0A1L9C3E7	5.94,,31960.05
A0A1L9C3J6	5.16,,15549.7
A0A1L9C3K4	4.7,,19916.89
A0A1L9C3L2	4.96,,16408.42
A0A1L9C3M7	4.88,,38542.61
A0A1L9C3N6	4.31,,160599.61
A0A1L9C3N9	4.69,,27341.08
A0A1L9C3Q0	4.85,,50503.83
A0A1L9C3Q1	4.71,,34799.42
A0A1L9C3S3	5.83,,49754.26
A0A1L9C3W4	4.49,,15014.83
A0A1L9C3W7	4.61,,52415.11
A0A1L9C3X7	4.02,,23989.59
A0A1L9C3X8	4.82,,28375.25
A0A1L9C423	9.68,,16525.02
A0A1L9C432	5.31,,35957.56
A0A1L9C435	9.2,,18399.09
A0A1L9C440	9.59,,7745.12
A0A1L9C444	9.17,,15353.35
A0A1L9C452	5.56,,63385.33
A0A1L9C456	9.63,,10066.7
A0A1L9C459	7.87,,9238.82
A0A1L9C471	5.5,,36415.17
A0A1L9C491	4.64,,42297.93
A0A1L9C493	9.99,,16930.52
A0A1L9C4C3	9.84,,27492.61
A0A1L9C4C9	4.76,,17314.56
A0A1L9C4D6	4.56,,50411.55
A0A1L9C4D8	9.08,,19771.7
A0A1L9C4E5	5.19,,41143.91
A0A1L9C4E7	4.83,,11885.28
A0A1L9C4F4	4.35,,35173.99
A0A1L9C4G4	5.2,,57610.34
A0A1L9C4H5	4.86,,50729.39
A0A1L9C4J6	4.85,,20375.92
A0A1L9C4L4	5.17,,34585.73
A0A1L9C4L6	4.83,,8997.46
A0A1L9C4L9	9.22,,6821.99
A0A1L9C4M2	7.59,,22823.01
A0A1L9C4N8	4.89,,27160.83
A0A1L9C4R4	4.84,,34693.24
A0A1L9C4R9	4.79,,63703.49
A0A1L9C4V8	5.56,,91695.99
A0A1L9C511	5.67,,65951.35
A0A1L9C516	4.59,,34153.65
A0A1L9C556	3.72,,10391.32
A0A1L9C599	5.04,,58748.69
A0A1L9C5B0	4.62,,42744.42
A0A1L9C5B6	4.79,,17249.37
A0A1L9C5D2	9.48,,46698.06
A0A1L9C5D4	7.6,,61754.58
A0A1L9C5E8	4.42,,37325.31
A0A1L9C5F9	5.1,,49443.92
A0A1L9C5I8	4.85,,29793.37
A0A1L9C5K6	5.05,,48941.61
A0A1L9C5L7	5.07,,44261.98
A0A1L9C5L9	12.15,,6339.48
A0A1L9C5M9	3.95,,32813.15
A0A1L9C5N6	4.97,,15365.21
A0A1L9C5N7	7.01,,29713.21
A0A1L9C5N8	8.85,,20765.82
A0A1L9C5P0	4.49,,3857.43
A0A1L9C5P6	3.69,,135369.13
A0A1L9C5R2	4.82,,9715.24
A0A1L9C5S7	10.32,,13667.58
A0A1L9C5T3	4.9,,57685.84
A0A1L9C5V9	4.31,,9645.02
A0A1L9C624	4.98,,40743.32
A0A1L9C642	10.47,,15579.05
A0A1L9C646	5.41,,64281.77
A0A1L9C647	9.71,,20564.59
A0A1L9C669	4.53,,50459.47
A0A1L9C696	4.76,,11720.29
A0A1L9C6A3	5.69,,43395.64
A0A1L9C6A5	5.62,,50622.19
A0A1L9C6C2	5.03,,51783.73
A0A1L9C6C3	4.82,,43813.11
A0A1L9C6C8	5,,45865.9
A0A1L9C6G0	5.09,,97969.87
A0A1L9C6H3	4.87,,62753.43
A0A1L9C6H7	5.23,,57505.71
A0A1L9C6I3	5.96,,104060.04
A0A1L9C6K3	4.95,,78861.3
A0A1L9C6L9	5.4,,28588.28
A0A1L9C6P0	5.87,,10573.18
A0A1L9C6P7	5.21,,26602.7
A0A1L9C6P8	5.58,,52827.35
A0A1L9C6S6	5.36,,13918.05
A0A1L9C6S9	4.94,,36463.45
A0A1L9C6U3	5.38,,119743.22
A0A1L9C6U5	4,,175179.73
A0A1L9C6V7	4.63,,63509.47
A0A1L9C6W4	5.37,,46584.45
A0A1L9C727	9.12,,14517.61
A0A1L9C733	5.04,,28665.45
A0A1L9C787	5.5,,22625.93
A0A1L9C794	5.23,,37752.19
A0A1L9C7C2	4.95,,16813.91
A0A1L9C7D3	6.48,,80776.9
A0A1L9C7D5	5.82,,92395.59
A0A1L9C7E1	9.13,,34571.06
A0A1L9C7G2	5.55,,29852.05
A0A1L9C7G8	5.3,,46863.08
A0A1L9C7I4	5.19,,32871.2
A0A1L9C7J6	5.27,,27952.82
A0A1L9C7J8	5.84,,29014.97
A0A1L9C7L3	5.33,,50957.94
A0A1W6TFG2	4.91,,58654.83
A0A1W6TXT0	6.48,,80805.42
A0A1Y0PRK9	5.65,,43156.16
A0A1Y0PSC7	9.85,,11562.38
A0A1Y0PSP7	5.75,,98075.67
A0A1Y0PX46	6.49,,49155.23
A0A1Y0PYX9	5.16,,59300.66
A0A1Y0PZC4	8.16,,6855.89
A0A1Y0Q0X1	6.15,,48001.95
A0A1Y0Q1Y2	5.89,,30824.54
A0A1Y0Q2H3	6.61,,26699.59
A0A1Y0Q5A7	5.75,,45313.93
A0A1Y0Q5B5	5.51,,42859.45
A0A1Y0Q5T0	6.46,,155262.25
A0A1Y0Q6J4	4.84,,57125.53
A0A1Y0Q7E7	4.91,,20603.37
A0A1Y0QAF1	5.73,,55169.01
A0A221FR80	4.75,,62132.94
A0A232JHL2	4.61,,31774
A0A249N0Z0	4.56,,49839.49
A0A249N188	5.13,,116216.25
A0A249N268	5.41,,54634.05
A0A249N2U1	5,,63223.22
A0A249N3F1	4.91,,57393.12
A0A249N4D0	5.17,,36299.13
A0A249N4E5	4.76,,76919.56
A0A249N7N0	5.02,,31534.95
A0A249N865	5.64,,42213.67
A0A2A2XF63	5.79,,93107.29
A0A2D1HGK0	5.21,,140871.23
A0A2D1HLQ6	NA
A0A2D1HNA1	NA
A0A2G3ESE2	4.78,,63533.82
A0A2I8JJ96	6.32,,26783.89
A0A2K2IQM3	5.39,,88784.97
A0A2K2IYQ5	5.14,,49995.65
A0A2L1XSV0	4.74,,88156.89
A0A2S4MSA7	6.81,,49423.98
A0A2S4MSB0	5.79,,57648.6
A0A2S4MSL1	5.46,,99668.49
A0A2S4MST5	5.16,,129864.5
A0A2S4MTC3	4.48,,35132.93
A0A2S4MTW3	8.99,,29436.15
A0A2S4MTW6	5.58,,44025.42
A0A2S4MUX3	6.14,,49660.16
A0A2S4MVT6	10.25,,11571.39
A0A2S4MVZ4	5.53,,57624.08
A0A2S4MW07	5.69,,85323.15
A0A2S4MWH0	4.93,,87408.05
A0A2S4MWS5	5.88,,44384.24
A0A2S4MX43	5.88,,50729.47
A0A2S4MX48	6.61,,35630.78
A0A2S4MXM8	4.57,,39652.5
A0A2S4MY18	5.77,,51160.11
A0A2S4MY63	5.38,,9359.61
A0A2S4MY66	6.15,,64677.4
A0A2S4MYB8	5.09,,100289.12
A0A2S4MYE3	5.99,,31617.04
A0A2S4MYQ0	5.83,,34207.54
A0A2S4MZF3	4.67,,36473.27
A0A2S4N046	4.84,,24798.99
A0A2S4N062	9.42,,20714.87
A0A2S4N0X4	6.16,,29126.83
A0A2S4N1A1	8.82,,19966.8
A0A2S4N1S8	6.19,,17740.28
A0A2S4N2L0	4.91,,31697.65
A0A2S4N3Q4	5.47,,89061.16
A0A2S4N3W2	5.43,,77502.57
A0A2S8EHG0	5.94,,51831.14
A0A2S8TUG1	9.51,,7741.9
A0A2T7VZH9	5.39,,55340.87
A0A2W0I5Q2	6.03,,18779.84
A0A2W0ISL7	10.94,,14856.2
A0A2W0ITA0	10.88,,13751.09
A0A2W0IWE8	10.93,,29834.41
A0A2W0NPM7	9.04,,17800.68
A0A2W0T4A3	9.74,,9703.48
A0A2W0U5L8	4.89,,61177.12
A0A2W0YG69	10.43,,13555.05
A0A2W0ZR09	5.51,,25191.86
A0A2X3GUD7	5.54,,25944.89
A0A2X3HFU8	5.38,,47056.3
A0A2X3HGK1	5.62,,28318.02
A0A2X3HRY5	5.08,,41133.24
A0A2X3IF64	5.56,,53783.02
A0A2X3IQU0	5.48,,56098.69
A0A2X3IQX4	4.97,,36465.7
A0A2X3IR88	5.07,,44264.84
A0A2X3IUK5	5.23,,52433.75
A0A2Y4XEU7	5.48,,48368.65
A0A384K8E5	5.28,,45769.79
A0A384K9A1	5.54,,34107.68
A0A384KCS0	5.16,,27579.62
A0A384KEN1	9.14,,52820.84
A0A384KES1	6.59,,11232.82
A0A384KG73	5.89,,13448.67
A0A384KG77	6.52,,26380.11
A0A384KIQ0	8.57,,53552.92
A0A384KJH6	6.64,,37232.27
A0A384KN81	4.7,,70207.22
A0A384KQF8	5.54,,52042.3
A0A384KRI4	5.47,,26079.62
A0A384KRU9	9.68,,21256.33
A0A384KU37	6.2,,17981.5
A0A384L0X3	9.36,,27508.16
A0A384L159	6.26,,26658.92
A0A384L1N9	6.78,,76476.39
A0A384L4I2	8.71,,7486.39
A0A384L4W3	6.32,,29763.45
A0A384L571	5.32,,43591.82
A0A384L8I3	4.65,,8549.27
A0A384L9V6	6.22,,33178.38
A0A384LJ77	5.12,,10306.93
A0A384LKD4	8.63,,36068.75
A0A384LMI5	5.66,,34548.86
A0A384LPJ8	5.82,,21686.61
A0A384LPW3	7.81,,11438.6
A0A384LQF0	8.63,,32157.65
A0A384LQK7	5.79,,85748.26
A0A399DPS6	11.03,,15196.97
A0A399DRI1	6.21,,47762.82
A0A399DS01	6.06,,49510.45
A0A399DUG9	7.06,,43748.81
A0A399DYN6	8.41,,71008.43
A0A399E4K3	8.42,,33583.49
A0A399E6K4	5.9,,44738.67
A0A399E757	8.49,,24541
A0A399E964	6.91,,47295.42
A0A399EAK2	8.97,,23832.19
A0A4Z9	5.64,,27242.32
A0AF17	9.34,,15673.83
A0AF43	9.81,,5697.59
A0AHG7	5.24,,49487.55
A0AIK3	5.56,,29887.03
A0AK46	9.64,,9882.4
A0AL98	4.56,,29154.3
A0ALE4	5.2,,36286.33
A0ALP2	5.2,,30067.35
A0PNL7	4.89,,56558.54
A0QNE2	8.11,,27228.65
A0QNF6	5.42,,18725.79
A0QNG1	5.15,,66317.79
A0QNG2	9.68,,44616.18
A0QNG7	4.77,,52025.88
A0QNI2	5.39,,27243.09
A0QNJ7	5.89,,50938.23
A0QP02	5.31,,105526.94
A0QP27	5.87,,109399.33
A0QP93	4.53,,43259.48
A0QPF7	5.62,,107589.68
A0QPN2	5.62,,74444.73
A0QQ61	6.5,,36981.41
A0QQB2	4.23,,59554.16
A0QQH1	4.62,,28975.93
A0QQI7	4.85,,43266.16
A0QR05	4.21,,38015.63
A0QRP3	9.9,,58628.67
A0QRV7	6,,182749.18
A0QS52	6.49,,52347.15
A0QS80	5.04,,105508.65
A0QSD6	10.95,,16192.37
A0QSD7	10.2,,30139.14
A0QSG6	10.17,,21779.83
A0QSP8	9.95,,15987.47
A0QSQ1	4.97,,46554.57
A0QSS3	4.51,,10631.93
A0QSU3	5.61,,53332.19
A0QSY1	8.96,,95528.91
A0QT33	5.03,,57309.55
A0QUA6	5.08,,57900.78
A0QUX6	5.57,,66004.2
A0QV26	4.76,,50683.99
A0QV37	9.25,,16768.2
A0QVT6	5.5,,99229.37
A0QVY1	5.4,,50572.28
A0QVY4	4.01,,82707.25
