Protein	ID,,Proteins Number,,Species Number,,Description
B1XPE7	N/A,,N/A,,N/A,,N/A
B1XPF4	HOG000035611,,17,,17,,NA
B1XPG7	HOG000240388,,71,,68,,NA
B1XPK2	N/A,,N/A,,N/A,,N/A
B1XPK3	HOG000087629,,1018,,1003,,NA
B1XPP4	HOG000151804,,29,,25,,NA
B1XPU9	HOG000037063,,12,,12,,NA
B1XPV1	HOG000004838,,866,,637,,NA
B1XPX6	HOG000232447,,42,,42,,NA
B1XPX8	HOG000247212,,501,,453,,NA
B1XQ64	HOG000233063,,42,,40,,NA
B1XQ68	HOG000255783,,164,,163,,NA
B1XQ75	N/A,,N/A,,N/A,,N/A
B1XQ85	N/A,,N/A,,N/A,,N/A
B1XQ92	N/A,,N/A,,N/A,,N/A
B1XQA7	HOG000219492,,420,,391,,NA
B1XQB2	HOG000256550,,490,,475,,NA
B1XQE5	HOG000111347,,64,,55,,NA
B1XQF1	N/A,,N/A,,N/A,,N/A
B1XQF2	N/A,,N/A,,N/A,,N/A
B1XQF6	HOG000226717,,1592,,1365,,NA
B1XQG3	HOG000035441,,16,,16,,NA
B1XQG5	HOG000265464,,244,,243,,NA
B1XQG8	N/A,,N/A,,N/A,,N/A
B1XQJ2	HOG000044388,,1192,,867,,NA
B1XQL7	HOG000226716,,635,,550,,NA
B1XQM2	HOG000233274,,180,,40,,NA
B1XQP1	HOG000255771,,776,,503,,NA
B1XQQ7	HOG000043828,,2164,,1027,,NA
B1XQQ9	HOG000260833,,266,,258,,NA
B1XQR5	HOG000019422,,1657,,934,,NA
B1XQS4	N/A,,N/A,,N/A,,N/A
B1XQV0	HOG000230559,,201,,166,,NA
B1XQW1	HOG000045296,,1000,,888,,NA
B1XQX2	N/A,,N/A,,N/A,,N/A
B1XQX5	N/A,,N/A,,N/A,,N/A
B1XQZ6	HOG000015929,,25,,25,,NA
B1XR00	HOG000054999,,5,,5,,NA
B1XR14	HOG000055004,,6,,3,,NA
B1XR17	HOG000055005,,3,,3,,NA
B1XR21	HOG000218764,,221,,142,,NA
B1XR22	HOG000055007,,5,,4,,NA
B1XR35	N/A,,N/A,,N/A,,N/A
B1XR40	HOG000265301,,13,,11,,NA
B1XR47	HOG000054744,,7,,6,,NA
B1XR72	N/A,,N/A,,N/A,,N/A
B1XR86	HOG000055015,,2,,2,,NA
B1XRA0	HOG000014179,,108,,101,,NA
B1XRC9	HOG000013235,,46,,46,,NA
B1XRD7	HOG000232015,,727,,370,,NA
B1XRI4	HOG000055028,,2,,2,,NA
B1XRL8	HOG000004965,,70,,58,,NA
B1XRQ5	HOG000055032,,6,,6,,NA
B1XRQ6	HOG000055033,,8,,8,,NA
B2S753	HOG000034815,,4809,,1039,,NA
B2SB45	HOG000034820,,5387,,916,,NA
B3GZ21	HOG000183702,,1246,,1207,,NA
B3KLX4	HOG000085727,,353,,284,,NA
B5F6V5	HOG000036265,,830,,823,,NA
B5XYF7	HOG000004851,,370,,368,,NA
B5XZ79	HOG000237619,,405,,378,,NA
B5Y275	HOG000008159,,527,,514,,NA
B5Y2E4	HOG000271513,,551,,445,,NA
B7LRJ8	HOG000019802,,1205,,1193,,NA
B7MDM9	HOG000271471,,595,,542,,NA
B7SCE5	N/A,,N/A,,N/A,,N/A
B7UM99	HOG000059321,,10,,10,,NA
B7UR12	N/A,,N/A,,N/A,,N/A
B8DE07	HOG000040383,,254,,252,,NA
B8GZM2	HOG000167204,,106,,104,,NA
C0H3R1	HOG000262167,,22,,21,,NA
C0H3T5	HOG000095441,,2,,2,,NA
C0H3T6	N/A,,N/A,,N/A,,N/A
C0H3V2	HOG000227563,,120,,115,,NA
C0H423	HOG000046113,,195,,158,,NA
C0H440	N/A,,N/A,,N/A,,N/A
C0H445	HOG000086725,,57,,56,,NA
C0H461	HOG000011093,,12,,12,,NA
C0LZQ0	N/A,,N/A,,N/A,,N/A
C0SP85	HOG000113197,,81,,67,,NA
C0SP93	HOG000021671,,422,,412,,NA
C0SPB6	HOG000106484,,1046,,569,,NA
C0SPB8	HOG000262826,,70,,48,,NA
C1KVC0	HOG000228136,,1102,,755,,NA
C1KW86	HOG000016265,,586,,581,,NA
C1KX21	HOG000076290,,1958,,1332,,NA
C1KYE1	HOG000217614,,316,,280,,NA
C1KYI2	HOG000004852,,825,,817,,NA
C1KYU1	HOG000277829,,1157,,1004,,NA
C1KZK7	HOG000231585,,1596,,1188,,NA
C3W947	N/A,,N/A,,N/A,,N/A
C5BGM2	HOG000232982,,1332,,1274,,NA
C8T007	N/A,,N/A,,N/A,,N/A
C8UMQ9	HOG000284894,,576,,556,,NA
D0WT66	N/A,,N/A,,N/A,,N/A
D0WX67	N/A,,N/A,,N/A,,N/A
D0WZ14	N/A,,N/A,,N/A,,N/A
D0X0H0	N/A,,N/A,,N/A,,N/A
D0X3A8	N/A,,N/A,,N/A,,N/A
D0X4G1	N/A,,N/A,,N/A,,N/A
D0ZV89	N/A,,N/A,,N/A,,N/A
D2BKU3	HOG000235844,,173,,171,,NA
D2BKU8	HOG000053796,,477,,460,,NA
D2BKY7	HOG000140047,,240,,232,,NA
D2BKZ2	HOG000141164,,117,,111,,NA
D2BLI2	HOG000236121,,5,,5,,NA
D2BM73	HOG000273542,,970,,792,,NA
D2BMX4	HOG000018859,,1070,,1059,,NA
D2BNL6	HOG000235974,,12,,5,,NA
D2BNM4	HOG000071678,,1398,,787,,NA
D2BNR6	HOG000235764,,5,,5,,NA
D2BP55	HOG000145619,,891,,552,,NA
D2BQ68	HOG000227678,,346,,308,,NA
D2BRC3	HOG000046079,,113,,111,,NA
D4GUJ7	HOG000225143,,1539,,218,,NA
D4GYZ1	HOG000091083,,141,,97,,NA
D4H071	HOG000105163,,138,,96,,NA
D5E6P6	HOG000224318,,76,,74,,NA
D5E6P9	HOG000236472,,464,,357,,NA
D5E6Y5	HOG000229886,,181,,178,,NA
D5E7U0	HOG000107197,,197,,162,,NA
D5E895	HOG000228838,,233,,186,,NA
D5E8U2	HOG000161281,,2,,2,,NA
D5E9H2	HOG000115329,,143,,141,,NA
D5E9V6	HOG000003451,,242,,197,,NA
D5E9V9	N/A,,N/A,,N/A,,N/A
D5E9Y3	HOG000015494,,29,,27,,NA
D5EAE2	HOG000286435,,66,,66,,NA
D5EB50	HOG000074141,,656,,558,,NA
D5EBE9	N/A,,N/A,,N/A,,N/A
D5EBU5	HOG000222903,,192,,99,,NA
D5EBX8	HOG000244681,,41,,16,,NA
E2JA29	N/A,,N/A,,N/A,,N/A
F2Z5W8	HOG000270434,,12,,12,,NA
F2Z5Y7	HOG000115326,,869,,527,,NA
F2Z5Z2	HOG000227188,,94,,94,,NA
F2Z692	HOG000271027,,12,,12,,NA
F2Z698	HOG000223225,,572,,236,,NA
F2Z6D2	HOG000225146,,637,,163,,NA
F2Z6F6	HOG000270626,,12,,12,,NA
F2Z6G3	HOG000226069,,81,,81,,NA
F6KV61	N/A,,N/A,,N/A,,N/A
F6KV62	N/A,,N/A,,N/A,,N/A
G2K046	N/A,,N/A,,N/A,,N/A
G2K047	N/A,,N/A,,N/A,,N/A
G3XD28	N/A,,N/A,,N/A,,N/A
G3XD31	N/A,,N/A,,N/A,,N/A
G3XD71	N/A,,N/A,,N/A,,N/A
G5EB01	N/A,,N/A,,N/A,,N/A
I6WXK4	N/A,,N/A,,N/A,,N/A
I6WYU2	N/A,,N/A,,N/A,,N/A
I6WZ58	N/A,,N/A,,N/A,,N/A
I6WZG6	N/A,,N/A,,N/A,,N/A
I6WZI4	N/A,,N/A,,N/A,,N/A
I6WZK7	N/A,,N/A,,N/A,,N/A
I6WZM9	N/A,,N/A,,N/A,,N/A
I6WZS4	N/A,,N/A,,N/A,,N/A
I6X540	N/A,,N/A,,N/A,,N/A
I6X5C9	N/A,,N/A,,N/A,,N/A
I6X5I7	N/A,,N/A,,N/A,,N/A
I6X5T4	N/A,,N/A,,N/A,,N/A
I6X6H8	N/A,,N/A,,N/A,,N/A
I6X7G4	N/A,,N/A,,N/A,,N/A
I6X7W8	N/A,,N/A,,N/A,,N/A
I6X827	N/A,,N/A,,N/A,,N/A
I6X8D2	N/A,,N/A,,N/A,,N/A
I6X961	N/A,,N/A,,N/A,,N/A
I6XF31	N/A,,N/A,,N/A,,N/A
I6XF52	N/A,,N/A,,N/A,,N/A
I6XF60	N/A,,N/A,,N/A,,N/A
I6XHG6	N/A,,N/A,,N/A,,N/A
I6XVZ6	N/A,,N/A,,N/A,,N/A
I6XW38	N/A,,N/A,,N/A,,N/A
I6XWB9	N/A,,N/A,,N/A,,N/A
I6XZC4	N/A,,N/A,,N/A,,N/A
I6Y1H7	N/A,,N/A,,N/A,,N/A
I6Y231	N/A,,N/A,,N/A,,N/A
I6Y242	N/A,,N/A,,N/A,,N/A
I6Y2E2	N/A,,N/A,,N/A,,N/A
I6Y2G3	N/A,,N/A,,N/A,,N/A
I6Y2I9	N/A,,N/A,,N/A,,N/A
I6Y3S9	N/A,,N/A,,N/A,,N/A
I6Y3V3	N/A,,N/A,,N/A,,N/A
I6Y4D2	N/A,,N/A,,N/A,,N/A
I6Y4U9	N/A,,N/A,,N/A,,N/A
I6Y4V2	N/A,,N/A,,N/A,,N/A
I6Y748	N/A,,N/A,,N/A,,N/A
I6Y778	N/A,,N/A,,N/A,,N/A
I6Y7V6	N/A,,N/A,,N/A,,N/A
I6Y897	N/A,,N/A,,N/A,,N/A
I6Y9K2	N/A,,N/A,,N/A,,N/A
I6Y9Q3	N/A,,N/A,,N/A,,N/A
I6YA03	N/A,,N/A,,N/A,,N/A
I6YA17	N/A,,N/A,,N/A,,N/A
I6YA29	N/A,,N/A,,N/A,,N/A
I6YAV3	N/A,,N/A,,N/A,,N/A
I6YC91	N/A,,N/A,,N/A,,N/A
I6YDN6	N/A,,N/A,,N/A,,N/A
I6YF40	N/A,,N/A,,N/A,,N/A
I6YG87	N/A,,N/A,,N/A,,N/A
I6YHB0	N/A,,N/A,,N/A,,N/A
I7FGY5	N/A,,N/A,,N/A,,N/A
J9R0U7	N/A,,N/A,,N/A,,N/A
K1VPX5	N/A,,N/A,,N/A,,N/A
K1VZL1	N/A,,N/A,,N/A,,N/A
K1W040	N/A,,N/A,,N/A,,N/A
K1W0W3	N/A,,N/A,,N/A,,N/A
K1W2U9	N/A,,N/A,,N/A,,N/A
K1W772	N/A,,N/A,,N/A,,N/A
K1W7L7	N/A,,N/A,,N/A,,N/A
K1WFA9	N/A,,N/A,,N/A,,N/A
K1WPM3	N/A,,N/A,,N/A,,N/A
K1WR40	N/A,,N/A,,N/A,,N/A
K1WSH3	N/A,,N/A,,N/A,,N/A
K1X2U2	N/A,,N/A,,N/A,,N/A
K1XE41	N/A,,N/A,,N/A,,N/A
K1XG38	N/A,,N/A,,N/A,,N/A
K4PDN9	N/A,,N/A,,N/A,,N/A
L0T2Z1	N/A,,N/A,,N/A,,N/A
L0T905	N/A,,N/A,,N/A,,N/A
L0TFC2	N/A,,N/A,,N/A,,N/A
L7N653	N/A,,N/A,,N/A,,N/A
L7N657	N/A,,N/A,,N/A,,N/A
L7N663	N/A,,N/A,,N/A,,N/A
L7N664	N/A,,N/A,,N/A,,N/A
L7N668	N/A,,N/A,,N/A,,N/A
L7N673	N/A,,N/A,,N/A,,N/A
L7N675	N/A,,N/A,,N/A,,N/A
L7N686	N/A,,N/A,,N/A,,N/A
L7N690	N/A,,N/A,,N/A,,N/A
L7N6A4	N/A,,N/A,,N/A,,N/A
L7N6B0	N/A,,N/A,,N/A,,N/A
L9UQ37	N/A,,N/A,,N/A,,N/A
N1UKI7	N/A,,N/A,,N/A,,N/A
O05223	HOG000082778,,30,,30,,NA
O05236	HOG000115329,,143,,141,,NA
O05251	HOG000034816,,535,,282,,NA
O05268	HOG000072909,,414,,341,,NA
O05310	HOG000248173,,36,,36,,NA
O05312	HOG000248161,,89,,88,,NA
O05389	HOG000227439,,501,,276,,NA
O05410	HOG000219533,,94,,93,,NA
O05436	HOG000054635,,29,,29,,NA
O05442	HOG000047781,,12,,12,,NA
O05450	HOG000221010,,7,,7,,NA
O05456	HOG000067758,,89,,35,,NA
O05495	HOG000056153,,88,,59,,NA
O05518	HOG000109568,,1175,,1164,,NA
O05519	HOG000271638,,601,,483,,NA
O05520	HOG000228417,,935,,897,,NA
O05521	HOG000250065,,181,,172,,NA
O05582	HOG000053420,,20,,20,,NA
O05634	HOG000231324,,97,,97,,NA
O05640	HOG000105947,,332,,217,,NA
O05641	HOG000072596,,553,,222,,NA
O05771	HOG000244091,,337,,333,,NA
O05773	HOG000140492,,96,,67,,NA
O05777	HOG000047982,,29,,29,,NA
O05780	HOG000048015,,12,,12,,NA
O05823	HOG000238385,,65,,65,,NA
O05828	HOG000044131,,45,,23,,NA
O05853	HOG000019422,,1657,,934,,NA
O05855	HOG000268807,,2028,,803,,NA
O05877	HOG000176512,,431,,307,,NA
O05981	HOG000216922,,280,,170,,NA
O05982	HOG000105913,,114,,110,,NA
O06137	N/A,,N/A,,N/A,,N/A
O06159	HOG000281564,,872,,599,,NA
O06170	HOG000051394,,21,,21,,NA
O06194	HOG000240195,,57,,51,,NA
O06218	HOG000150144,,22,,21,,NA
O06243	HOG000220492,,8,,8,,NA
O06263	HOG000043865,,20,,20,,NA
O06278	HOG000052296,,16,,16,,NA
O06311	HOG000049072,,22,,22,,NA
O06396	HOG000067758,,89,,35,,NA
O06403	HOG000043182,,14,,14,,NA
O06404	HOG000043193,,10,,10,,NA
O06457	HOG000034026,,289,,288,,NA
O06476	HOG000271635,,936,,929,,NA
O06491	HOG000116699,,1251,,1132,,NA
O06492	HOG000017523,,691,,681,,NA
O06538	HOG000044201,,38,,38,,NA
O06597	HOG000261973,,334,,250,,NA
O06604	HOG000071939,,40,,28,,NA
O06611	N/A,,N/A,,N/A,,N/A
O06614	HOG000220978,,11,,9,,NA
O06802	HOG000049812,,81,,81,,NA
O06807	HOG000044131,,45,,23,,NA
O06825	HOG000241380,,274,,79,,NA
O06925	N/A,,N/A,,N/A,,N/A
O06974	HOG000072685,,335,,332,,NA
O06976	HOG000278399,,618,,503,,NA
O07012	HOG000117811,,258,,172,,NA
O07021	HOG000262102,,478,,414,,NA
O07180	HOG000151980,,292,,274,,NA
O07181	HOG000268188,,73,,71,,NA
O07196	HOG000021614,,62,,62,,NA
O07198	HOG000243287,,114,,113,,NA
O07227	HOG000220311,,12,,11,,NA
O07235	HOG000045184,,20,,20,,NA
O07239	HOG000043060,,53,,20,,NA
O07255	HOG000220319,,39,,37,,NA
O07406	HOG000230997,,672,,377,,NA
O07411	HOG000230005,,1300,,429,,NA
O07416	HOG000044455,,136,,41,,NA
O07419	HOG000044478,,21,,21,,NA
O07422	HOG000044511,,21,,21,,NA
O07521	HOG000010260,,190,,184,,NA
O07542	HOG000284933,,199,,197,,NA
O07584	HOG000026380,,158,,155,,NA
O07596	HOG000260719,,764,,337,,NA
O07634	HOG000091711,,43,,42,,NA
O07636	HOG000095968,,76,,75,,NA
O07678	N/A,,N/A,,N/A,,N/A
O07717	N/A,,N/A,,N/A,,N/A
O07720	HOG000249658,,39,,39,,NA
O07728	HOG000049339,,30,,12,,NA
O07806	HOG000233068,,98,,86,,NA
O07809	HOG000242038,,105,,65,,NA
O07853	HOG000036165,,403,,295,,NA
O08309	HOG000021559,,1076,,686,,NA
O08314	N/A,,N/A,,N/A,,N/A
O08335	HOG000285141,,102,,97,,NA
O08357	HOG000219143,,289,,287,,NA
O08359	HOG000037976,,337,,332,,NA
O08394	HOG000093545,,87,,64,,NA
O24862	N/A,,N/A,,N/A,,N/A
O24870	N/A,,N/A,,N/A,,N/A
O24875	N/A,,N/A,,N/A,,N/A
O24895	N/A,,N/A,,N/A,,N/A
O24900	N/A,,N/A,,N/A,,N/A
O24904	N/A,,N/A,,N/A,,N/A
O24911	N/A,,N/A,,N/A,,N/A
O24916	N/A,,N/A,,N/A,,N/A
O24922	N/A,,N/A,,N/A,,N/A
O24934	N/A,,N/A,,N/A,,N/A
O24974	N/A,,N/A,,N/A,,N/A
O24978	N/A,,N/A,,N/A,,N/A
O25008	N/A,,N/A,,N/A,,N/A
O25029	N/A,,N/A,,N/A,,N/A
O25032	N/A,,N/A,,N/A,,N/A
O25047	N/A,,N/A,,N/A,,N/A
O25058	N/A,,N/A,,N/A,,N/A
O25066	N/A,,N/A,,N/A,,N/A
O25068	N/A,,N/A,,N/A,,N/A
O25121	N/A,,N/A,,N/A,,N/A
O25125	N/A,,N/A,,N/A,,N/A
O25130	N/A,,N/A,,N/A,,N/A
O25164	N/A,,N/A,,N/A,,N/A
O25170	N/A,,N/A,,N/A,,N/A
O25176	N/A,,N/A,,N/A,,N/A
O25196	N/A,,N/A,,N/A,,N/A
O25214	N/A,,N/A,,N/A,,N/A
O25235	N/A,,N/A,,N/A,,N/A
O25247	N/A,,N/A,,N/A,,N/A
O25252	N/A,,N/A,,N/A,,N/A
O25273	N/A,,N/A,,N/A,,N/A
O25284	N/A,,N/A,,N/A,,N/A
O25298	N/A,,N/A,,N/A,,N/A
O25308	N/A,,N/A,,N/A,,N/A
O25330	N/A,,N/A,,N/A,,N/A
O25395	N/A,,N/A,,N/A,,N/A
O25396	N/A,,N/A,,N/A,,N/A
O25400	N/A,,N/A,,N/A,,N/A
O25402	N/A,,N/A,,N/A,,N/A
O25436	N/A,,N/A,,N/A,,N/A
O25461	N/A,,N/A,,N/A,,N/A
O25466	N/A,,N/A,,N/A,,N/A
O25500	N/A,,N/A,,N/A,,N/A
O25510	N/A,,N/A,,N/A,,N/A
O25526	N/A,,N/A,,N/A,,N/A
O25547	N/A,,N/A,,N/A,,N/A
O25553	N/A,,N/A,,N/A,,N/A
O25595	N/A,,N/A,,N/A,,N/A
O25610	N/A,,N/A,,N/A,,N/A
O25616	N/A,,N/A,,N/A,,N/A
O25661	N/A,,N/A,,N/A,,N/A
O25664	N/A,,N/A,,N/A,,N/A
O25672	N/A,,N/A,,N/A,,N/A
O25695	N/A,,N/A,,N/A,,N/A
O25752	N/A,,N/A,,N/A,,N/A
O25806	N/A,,N/A,,N/A,,N/A
O25819	N/A,,N/A,,N/A,,N/A
O25852	N/A,,N/A,,N/A,,N/A
O25879	N/A,,N/A,,N/A,,N/A
O25953	N/A,,N/A,,N/A,,N/A
O26013	N/A,,N/A,,N/A,,N/A
O26019	N/A,,N/A,,N/A,,N/A
O26037	N/A,,N/A,,N/A,,N/A
O26046	N/A,,N/A,,N/A,,N/A
O26058	N/A,,N/A,,N/A,,N/A
O26090	N/A,,N/A,,N/A,,N/A
O26094	N/A,,N/A,,N/A,,N/A
O26098	N/A,,N/A,,N/A,,N/A
O26103	N/A,,N/A,,N/A,,N/A
O28471	N/A,,N/A,,N/A,,N/A
O30245	N/A,,N/A,,N/A,,N/A
O30409	N/A,,N/A,,N/A,,N/A
O31149	HOG000278513,,1004,,848,,NA
O31447	HOG000292951,,20,,16,,NA
O31458	HOG000064978,,493,,387,,NA
O31462	HOG000261850,,772,,416,,NA
O31487	HOG000082408,,27,,26,,NA
O31489	HOG000270498,,353,,345,,NA
O31501	HOG000158130,,131,,103,,NA
O31509	HOG000228371,,414,,396,,NA
O31540	HOG000211455,,98,,73,,NA
O31541	HOG000221448,,814,,445,,NA
O31544	HOG000083047,,37,,36,,NA
O31556	HOG000011156,,5,,5,,NA
O31567	HOG000045521,,597,,267,,NA
O31587	HOG000039864,,892,,867,,NA
O31592	HOG000008817,,6,,6,,NA
O31605	HOG000059490,,346,,307,,NA
O31609	HOG000275577,,157,,156,,NA
O31611	HOG000263233,,210,,207,,NA
O31612	HOG000275803,,235,,177,,NA
O31618	HOG000248049,,810,,793,,NA
O31622	HOG000008854,,9,,8,,NA
O31629	HOG000015656,,75,,74,,NA
O31644	HOG000099531,,15,,14,,NA
O31645	HOG000227677,,606,,348,,NA
O31646	HOG000054245,,349,,302,,NA
O31657	HOG000227302,,344,,338,,NA
O31662	HOG000224730,,664,,546,,NA
O31663	HOG000082744,,173,,141,,NA
O31666	HOG000230832,,64,,63,,NA
O31669	HOG000201072,,187,,179,,NA
O31672	HOG000221447,,892,,513,,NA
O31673	HOG000218210,,1302,,1073,,NA
O31684	HOG000278177,,72,,71,,NA
O31691	HOG000223756,,503,,271,,NA
O31716	HOG000271629,,663,,629,,NA
O31717	HOG000050222,,789,,520,,NA
O31741	HOG000016242,,1220,,1210,,NA
O31749	HOG000047187,,1266,,1214,,NA
O31760	HOG000280201,,643,,415,,NA
O31761	HOG000228717,,1606,,633,,NA
O31768	HOG000095779,,79,,59,,NA
O31771	HOG000010787,,81,,79,,NA
O31774	HOG000221256,,512,,506,,NA
O31777	HOG000221022,,700,,567,,NA
O31782	HOG000008929,,6,,6,,NA
O31856	HOG000008785,,38,,12,,NA
O31875	HOG000113851,,2,,2,,NA
O31892	N/A,,N/A,,N/A,,N/A
O31903	N/A,,N/A,,N/A,,N/A
O31912	N/A,,N/A,,N/A,,N/A
O31962	HOG000114959,,2,,2,,NA
O31989	N/A,,N/A,,N/A,,N/A
O31993	HOG000114952,,3,,3,,NA
O32022	HOG000262068,,23,,21,,NA
O32033	HOG000262756,,867,,585,,NA
O32038	HOG000275159,,587,,540,,NA
O32039	HOG000018072,,961,,945,,NA
O32049	HOG000097206,,50,,49,,NA
O32052	HOG000018859,,1070,,1059,,NA
O32053	HOG000223473,,1315,,1197,,NA
O32076	HOG000240804,,547,,180,,NA
O32082	HOG000072374,,76,,75,,NA
O32104	HOG000246867,,735,,606,,NA
O32113	HOG000228313,,1073,,891,,NA
O32119	HOG000067770,,321,,302,,NA
O32129	HOG000235998,,477,,375,,NA
O32132	HOG000223349,,75,,74,,NA
O32144	HOG000244715,,466,,256,,NA
O32151	N/A,,N/A,,N/A,,N/A
O32157	HOG000293057,,46,,38,,NA
O32162	HOG000069112,,892,,863,,NA
O32163	HOG000069226,,502,,470,,NA
O32164	HOG000017511,,1605,,1080,,NA
O32165	HOG000069114,,171,,169,,NA
O32169	N/A,,N/A,,N/A,,N/A
O32173	HOG000262165,,37,,36,,NA
O32175	HOG000059716,,244,,242,,NA
O32178	HOG000264370,,270,,262,,NA
O32213	HOG000218418,,228,,223,,NA
O32222	HOG000023915,,821,,486,,NA
O32224	HOG000247892,,771,,514,,NA
O32231	HOG000071119,,446,,438,,NA
O32259	HOG000086052,,146,,127,,NA
O32264	HOG000136700,,2735,,1028,,NA
O32294	HOG000011071,,15,,7,,NA
O32504	HOG000099812,,4,,4,,NA
O32712	N/A,,N/A,,N/A,,N/A
O32723	N/A,,N/A,,N/A,,N/A
O33198	HOG000046370,,108,,107,,NA
O33206	HOG000236213,,104,,90,,NA
O33237	HOG000050437,,35,,31,,NA
O33263	N/A,,N/A,,N/A,,N/A
O33289	HOG000236614,,268,,245,,NA
O33298	HOG000239473,,187,,167,,NA
O33329	HOG000220560,,10,,10,,NA
O33332	HOG000221741,,358,,166,,NA
O33361	HOG000043115,,19,,19,,NA
O33600	N/A,,N/A,,N/A,,N/A
O33618	HOG000223756,,503,,271,,NA
O33749	HOG000100571,,48,,28,,NA
O33768	HOG000216620,,98,,85,,NA
O33770	HOG000288510,,1312,,878,,NA
O33775	HOG000243914,,1199,,1092,,NA
O33780	HOG000035937,,692,,506,,NA
O34094	HOG000114615,,4,,4,,NA
O34153	N/A,,N/A,,N/A,,N/A
O34154	N/A,,N/A,,N/A,,N/A
O34206	N/A,,N/A,,N/A,,N/A
O34303	HOG000080449,,3,,3,,NA
O34324	HOG000276708,,2493,,1269,,NA
O34325	HOG000262107,,16,,15,,NA
O34328	HOG000037639,,362,,355,,NA
O34334	HOG000261710,,19,,18,,NA
O34338	N/A,,N/A,,N/A,,N/A
O34347	HOG000230093,,1031,,906,,NA
O34384	HOG000069562,,433,,135,,NA
O34410	N/A,,N/A,,N/A,,N/A
O34425	HOG000071679,,1102,,818,,NA
O34443	HOG000036776,,1167,,1085,,NA
O34445	HOG000050337,,172,,170,,NA
O34447	HOG000277505,,230,,167,,NA
O34486	HOG000059245,,476,,116,,NA
O34499	HOG000243565,,349,,303,,NA
O34507	HOG000037186,,176,,174,,NA
O34512	HOG000271634,,220,,178,,NA
O34513	HOG000280565,,272,,270,,NA
O34529	HOG000248870,,560,,533,,NA
O34530	HOG000006958,,438,,432,,NA
O34536	HOG000140760,,5,,4,,NA
O34542	HOG000051122,,453,,408,,NA
O34549	HOG000095901,,128,,51,,NA
O34588	HOG000278744,,110,,109,,NA
O34591	HOG000281451,,830,,565,,NA
O34618	HOG000261849,,1294,,440,,NA
O34633	HOG000099039,,36,,35,,NA
O34647	HOG000225391,,452,,193,,NA
O34660	HOG000271505,,3917,,751,,NA
O34687	HOG000040268,,778,,747,,NA
O34709	HOG000262826,,70,,48,,NA
O34714	HOG000200624,,109,,90,,NA
O34722	N/A,,N/A,,N/A,,N/A
O34751	HOG000036958,,325,,321,,NA
O34759	HOG000002164,,43,,34,,NA
O34760	HOG000024026,,140,,139,,NA
O34764	HOG000069044,,304,,284,,NA
O34788	HOG000294670,,1618,,607,,NA
O34795	HOG000155487,,5,,5,,NA
O34810	N/A,,N/A,,N/A,,N/A
O34812	HOG000294663,,812,,472,,NA
O34824	HOG000268678,,1060,,1043,,NA
O34832	HOG000045409,,937,,444,,NA
O34833	HOG000060506,,45,,42,,NA
O34859	HOG000237248,,254,,232,,NA
O34860	HOG000008785,,38,,12,,NA
O34863	HOG000050449,,616,,469,,NA
O34872	HOG000021986,,123,,107,,NA
O34904	HOG000008780,,16,,9,,NA
O34909	HOG000092899,,58,,52,,NA
O34924	HOG000291973,,371,,242,,NA
O34948	HOG000219608,,1456,,727,,NA
O34949	HOG000221447,,892,,513,,NA
O34962	HOG000132447,,643,,513,,NA
O34967	HOG000284894,,576,,556,,NA
O34968	HOG000245316,,40,,39,,NA
O34979	N/A,,N/A,,N/A,,N/A
O34981	HOG000040257,,209,,207,,NA
O35004	HOG000008772,,11,,10,,NA
O35019	HOG000280123,,89,,88,,NA
O35033	HOG000037525,,481,,480,,NA
O50147	N/A,,N/A,,N/A,,N/A
O50397	HOG000146732,,801,,398,,NA
O50416	HOG000221683,,2213,,946,,NA
O50431	HOG000237760,,349,,315,,NA
O50432	HOG000011570,,213,,167,,NA
O50464	HOG000237307,,56,,54,,NA
O50508	N/A,,N/A,,N/A,,N/A
O50515	HOG000278398,,678,,600,,NA
O52631	HOG000071679,,1102,,818,,NA
O52632	HOG000227108,,486,,457,,NA
O52982	HOG000028675,,13,,10,,NA
O53083	HOG000016265,,586,,581,,NA
O53148	HOG000244943,,98,,95,,NA
O53154	N/A,,N/A,,N/A,,N/A
O53165	HOG000248228,,185,,117,,NA
O53181	HOG000007084,,115,,108,,NA
O53203	HOG000204990,,334,,303,,NA
O53213	HOG000053696,,201,,49,,NA
O53298	HOG000220596,,8,,8,,NA
O53310	HOG000220610,,8,,8,,NA
O53321	HOG000043952,,114,,61,,NA
O53329	HOG000018781,,218,,140,,NA
O53343	HOG000022132,,68,,58,,NA
O53346	HOG000048237,,60,,58,,NA
O53353	HOG000247630,,255,,118,,NA
O53360	HOG000268676,,728,,601,,NA
O53362	HOG000048592,,49,,46,,NA
O53399	N/A,,N/A,,N/A,,N/A
O53406	HOG000229980,,444,,288,,NA
O53417	HOG000042034,,83,,60,,NA
O53469	HOG000220483,,8,,8,,NA
O53493	HOG000021324,,97,,87,,NA
O53509	HOG000242939,,87,,86,,NA
O53512	HOG000242917,,413,,339,,NA
O53521	HOG000229985,,659,,403,,NA
O53531	HOG000019407,,64,,62,,NA
O53532	HOG000244751,,115,,97,,NA
O53547	N/A,,N/A,,N/A,,N/A
O53564	HOG000052059,,27,,27,,NA
O53578	HOG000218693,,924,,586,,NA
O53579	HOG000046292,,791,,153,,NA
O53580	HOG000266721,,184,,47,,NA
