Protein	MSA ID
A0A0H3ME56	N/A
A0A0H3ME82	N/A
A0A0H3ME92	N/A
A0A0H3MEA0	N/A
A0A0H3MEB7	N/A
A0A0H3MED5	N/A
A0A0H3MEG2	N/A
A0A0H3MEH0	N/A
A0A0H3MEH6	N/A
A0A0H3MEN6	N/A
A0A0H3MEN7	N/A
A0A0H3MEQ5	N/A
A0A0H3MET2	N/A
A0A0H3MEV1	N/A
A0A0H3MEX2	N/A
A0A0H3MF00	N/A
A0A0H3MF18	N/A
A0A0H3MF83	N/A
A0A0H3MFB2	N/A
A0A0H3MFE2	N/A
A0A0H3MFE4	N/A
A0A0H3MFG4	N/A
A0A0H3MFH8	N/A
A0A0H3MFK2	N/A
A0A0H3MFQ3	N/A
A0A0H3MFQ9	N/A
A0A0H3MFR0	N/A
A0A0H3MFR6	N/A
A0A0H3MFV3	N/A
A0A0H3MFX3	N/A
A0A0H3MFX4	N/A
A0A0H3MFY3	N/A
A0A0H3MG92	N/A
A0A0H3MGE2	N/A
A0A0H3MGI9	N/A
A0A0H3MGQ7	N/A
A0A0H3MGR2	N/A
A0A0H3MGY7	N/A
A0A0H3MH40	N/A
A0A0H3MH77	N/A
A0A0H3MH87	N/A
A0A0H3MH99	N/A
A0A0H3MHD1	N/A
A0A0H3MHD6	N/A
A0A0H3MHF4	N/A
A0A0H3MHJ0	N/A
A0A0H3MHJ6	N/A
A0A0H3MHS0	N/A
A0A0H3MHY3	N/A
A0A0H3MI19	N/A
A0A0H3MI44	N/A
A0A0H3MI89	N/A
A0A0H3MIE5	N/A
A0A0H3MIH3	N/A
A0A0H3MII2	N/A
A0A0H3MIK1	N/A
A0A0H3MJ62	N/A
A0A0H3MJ88	N/A
A0A0H3MJA4	N/A
A0A0H3MJE2	N/A
A0A0H3MJE7	N/A
A0A0H3MJH3	N/A
A0A0J4N9D7	N/A
A0A0J4RI30	N/A
A0A0J4TJB2	N/A
A0A0J5CNL8	N/A
A0A0J6UPB2	N/A
A0A0J9WZ66	N/A
A0A0N0VCJ2	N/A
A0A0N7KW54	N/A
A0A0P0YPS5	N/A
A0A0P0YPU6	N/A
A0A0P0YPV3	N/A
A0A0P0YQF2	N/A
A0A0U5RPV0	N/A
A0A0U5RZY5	N/A
A0A0U5TCV6	N/A
A0A0U8IEL9	N/A
A0A0V9SPI3	N/A
A0A0W8AWL7	N/A
A0A140NDN5	N/A
A0A140NDN6	N/A
A0A140NDV1	N/A
A0A160PV21	N/A
A0A169AX83	N/A
A0A193SCD4	N/A
A0A1C0C6X9	N/A
A0A1C0DP85	N/A
A0A1C0DZB6	N/A
A0A1C0KL46	N/A
A0A1C0PG74	N/A
A0A1C0RDT3	N/A
A0A1C3HJY9	N/A
A0A1C3PX33	N/A
A0A1J7G277	N/A
A0A1J7W1Z7	N/A
A0A1J7WFJ7	N/A
A0A1L9C1G9	N/A
A0A1L9C1T0	N/A
A0A1L9C1T3	N/A
A0A1L9C1T4	N/A
A0A1L9C1U6	N/A
A0A1L9C1W0	N/A
A0A1L9C1W6	N/A
A0A1L9C1Z1	N/A
A0A1L9C1Z3	N/A
A0A1L9C200	N/A
A0A1L9C223	N/A
A0A1L9C250	N/A
A0A1L9C283	N/A
A0A1L9C285	N/A
A0A1L9C287	N/A
A0A1L9C2B1	N/A
A0A1L9C2B8	N/A
A0A1L9C2B9	N/A
A0A1L9C2K4	N/A
A0A1L9C2L4	N/A
A0A1L9C2M6	N/A
A0A1L9C2R5	N/A
A0A1L9C2S5	N/A
A0A1L9C2T8	N/A
A0A1L9C2Y6	N/A
A0A1L9C305	N/A
A0A1L9C310	N/A
A0A1L9C334	N/A
A0A1L9C366	N/A
A0A1L9C372	N/A
A0A1L9C383	N/A
A0A1L9C392	N/A
A0A1L9C3A7	N/A
A0A1L9C3B3	N/A
A0A1L9C3C4	N/A
A0A1L9C3D6	N/A
A0A1L9C3E7	N/A
A0A1L9C3J6	N/A
A0A1L9C3K4	N/A
A0A1L9C3L2	N/A
A0A1L9C3M7	N/A
A0A1L9C3N6	N/A
A0A1L9C3N9	N/A
A0A1L9C3Q0	N/A
A0A1L9C3Q1	N/A
A0A1L9C3S3	N/A
A0A1L9C3W4	N/A
A0A1L9C3W7	N/A
A0A1L9C3X7	N/A
A0A1L9C3X8	N/A
A0A1L9C423	N/A
A0A1L9C432	N/A
A0A1L9C435	N/A
A0A1L9C440	N/A
A0A1L9C444	N/A
A0A1L9C452	N/A
A0A1L9C456	N/A
A0A1L9C459	N/A
A0A1L9C471	N/A
A0A1L9C491	N/A
A0A1L9C493	N/A
A0A1L9C4C3	N/A
A0A1L9C4C9	N/A
A0A1L9C4D6	N/A
A0A1L9C4D8	N/A
A0A1L9C4E5	N/A
A0A1L9C4E7	N/A
A0A1L9C4F4	N/A
A0A1L9C4G4	N/A
A0A1L9C4H5	N/A
A0A1L9C4J6	N/A
A0A1L9C4L4	N/A
A0A1L9C4L6	N/A
A0A1L9C4L9	N/A
A0A1L9C4M2	N/A
A0A1L9C4N8	N/A
A0A1L9C4R4	N/A
A0A1L9C4R9	N/A
A0A1L9C4V8	N/A
A0A1L9C511	N/A
A0A1L9C516	N/A
A0A1L9C556	N/A
A0A1L9C599	N/A
A0A1L9C5B0	N/A
A0A1L9C5B6	N/A
A0A1L9C5D2	N/A
A0A1L9C5D4	N/A
A0A1L9C5E8	N/A
A0A1L9C5F9	N/A
A0A1L9C5I8	N/A
A0A1L9C5K6	N/A
A0A1L9C5L7	N/A
A0A1L9C5L9	N/A
A0A1L9C5M9	N/A
A0A1L9C5N6	N/A
A0A1L9C5N7	N/A
A0A1L9C5N8	N/A
A0A1L9C5P0	N/A
A0A1L9C5P6	N/A
A0A1L9C5R2	N/A
A0A1L9C5S7	N/A
A0A1L9C5T3	N/A
A0A1L9C5V9	N/A
A0A1L9C624	N/A
A0A1L9C642	N/A
A0A1L9C646	N/A
A0A1L9C647	N/A
A0A1L9C669	N/A
A0A1L9C696	N/A
A0A1L9C6A3	N/A
A0A1L9C6A5	N/A
A0A1L9C6C2	N/A
A0A1L9C6C3	N/A
A0A1L9C6C8	N/A
A0A1L9C6G0	N/A
A0A1L9C6H3	N/A
A0A1L9C6H7	N/A
A0A1L9C6I3	N/A
A0A1L9C6K3	N/A
A0A1L9C6L9	N/A
A0A1L9C6P0	N/A
A0A1L9C6P7	N/A
A0A1L9C6P8	N/A
A0A1L9C6S6	N/A
A0A1L9C6S9	N/A
A0A1L9C6U3	N/A
A0A1L9C6U5	N/A
A0A1L9C6V7	N/A
A0A1L9C6W4	N/A
A0A1L9C727	N/A
A0A1L9C733	N/A
A0A1L9C787	N/A
A0A1L9C794	N/A
A0A1L9C7C2	N/A
A0A1L9C7D3	N/A
A0A1L9C7D5	N/A
A0A1L9C7E1	N/A
A0A1L9C7G2	N/A
A0A1L9C7G8	N/A
A0A1L9C7I4	N/A
A0A1L9C7J6	N/A
A0A1L9C7J8	N/A
A0A1L9C7L3	N/A
A0A1W6TFG2	N/A
A0A1W6TXT0	N/A
A0A1Y0PRK9	N/A
A0A1Y0PSC7	N/A
A0A1Y0PSP7	N/A
A0A1Y0PX46	N/A
A0A1Y0PYX9	N/A
A0A1Y0PZC4	N/A
A0A1Y0Q0X1	N/A
A0A1Y0Q1Y2	N/A
A0A1Y0Q2H3	N/A
A0A1Y0Q5A7	N/A
A0A1Y0Q5B5	N/A
A0A1Y0Q5T0	N/A
A0A1Y0Q6J4	N/A
A0A1Y0Q7E7	N/A
A0A1Y0QAF1	N/A
A0A221FR80	N/A
A0A232JHL2	N/A
A0A249N0Z0	N/A
A0A249N188	N/A
A0A249N268	N/A
A0A249N2U1	N/A
A0A249N3F1	N/A
A0A249N4D0	N/A
A0A249N4E5	N/A
A0A249N7N0	N/A
A0A249N865	N/A
A0A2A2XF63	N/A
A0A2D1HGK0	N/A
A0A2D1HLQ6	N/A
A0A2D1HNA1	N/A
A0A2G3ESE2	N/A
A0A2I8JJ96	N/A
A0A2K2IQM3	N/A
A0A2K2IYQ5	N/A
A0A2L1XSV0	N/A
A0A2S4MSA7	N/A
A0A2S4MSB0	N/A
A0A2S4MSL1	N/A
A0A2S4MST5	N/A
A0A2S4MTC3	N/A
A0A2S4MTW3	N/A
A0A2S4MTW6	N/A
A0A2S4MUX3	N/A
A0A2S4MVT6	N/A
A0A2S4MVZ4	N/A
A0A2S4MW07	N/A
A0A2S4MWH0	N/A
A0A2S4MWS5	N/A
A0A2S4MX43	N/A
A0A2S4MX48	N/A
A0A2S4MXM8	N/A
A0A2S4MY18	N/A
A0A2S4MY63	N/A
A0A2S4MY66	N/A
A0A2S4MYB8	N/A
A0A2S4MYE3	N/A
A0A2S4MYQ0	N/A
A0A2S4MZF3	N/A
A0A2S4N046	N/A
A0A2S4N062	N/A
A0A2S4N0X4	N/A
A0A2S4N1A1	N/A
A0A2S4N1S8	N/A
A0A2S4N2L0	N/A
A0A2S4N3Q4	N/A
A0A2S4N3W2	N/A
A0A2S8EHG0	N/A
A0A2S8TUG1	N/A
A0A2T7VZH9	N/A
A0A2W0I5Q2	N/A
A0A2W0ISL7	N/A
A0A2W0ITA0	N/A
A0A2W0IWE8	N/A
A0A2W0NPM7	N/A
A0A2W0T4A3	N/A
A0A2W0U5L8	N/A
A0A2W0YG69	N/A
A0A2W0ZR09	N/A
A0A2X3GUD7	N/A
A0A2X3HFU8	N/A
A0A2X3HGK1	N/A
A0A2X3HRY5	N/A
A0A2X3IF64	N/A
A0A2X3IQU0	N/A
A0A2X3IQX4	N/A
A0A2X3IR88	N/A
A0A2X3IUK5	N/A
A0A2Y4XEU7	N/A
A0A384K8E5	N/A
A0A384K9A1	N/A
A0A384KCS0	N/A
A0A384KEN1	N/A
A0A384KES1	N/A
A0A384KG73	N/A
A0A384KG77	N/A
A0A384KIQ0	N/A
A0A384KJH6	N/A
A0A384KN81	N/A
A0A384KQF8	N/A
A0A384KRI4	N/A
A0A384KRU9	N/A
A0A384KU37	N/A
A0A384L0X3	N/A
A0A384L159	N/A
A0A384L1N9	N/A
A0A384L4I2	N/A
A0A384L4W3	N/A
A0A384L571	N/A
A0A384L8I3	N/A
A0A384L9V6	N/A
A0A384LJ77	N/A
A0A384LKD4	N/A
A0A384LMI5	N/A
A0A384LPJ8	N/A
A0A384LPW3	N/A
A0A384LQF0	N/A
A0A384LQK7	N/A
A0A399DPS6	N/A
A0A399DRI1	N/A
A0A399DS01	N/A
A0A399DUG9	N/A
A0A399DYN6	N/A
A0A399E4K3	N/A
A0A399E6K4	N/A
A0A399E757	N/A
A0A399E964	N/A
A0A399EAK2	N/A
A0A4Z9	N/A
A0AF17	N/A
A0AF43	N/A
A0AHG7	N/A
A0AIK3	N/A
A0AK46	N/A
A0AL98	N/A
A0ALE4	N/A
A0ALP2	N/A
A0PNL7	N/A
A0QNE2	N/A
A0QNF6	N/A
A0QNG1	N/A
A0QNG2	N/A
A0QNG7	N/A
A0QNI2	N/A
A0QNJ7	N/A
A0QP02	N/A
A0QP27	N/A
A0QP93	N/A
A0QPF7	N/A
A0QPN2	N/A
A0QQ61	N/A
A0QQB2	N/A
A0QQH1	N/A
A0QQI7	N/A
A0QR05	N/A
A0QRP3	N/A
A0QRV7	N/A
A0QS52	N/A
A0QS80	N/A
A0QSD6	N/A
A0QSD7	N/A
A0QSG6	N/A
A0QSP8	N/A
A0QSQ1	N/A
A0QSS3	N/A
A0QSU3	N/A
A0QSY1	N/A
A0QT33	N/A
A0QUA6	N/A
A0QUX6	N/A
A0QV26	N/A
A0QV37	N/A
A0QVT6	N/A
A0QVY1	N/A
A0QVY4	N/A
A0QVZ3	N/A
A0QW11	N/A
A0QWG9	N/A
A0QWQ9	N/A
A0QWR2	N/A
A0QWS9	N/A
A0QWV0	N/A
A0QYB1	N/A
A0QYE8	N/A
A0QYF6	N/A
A0QYG2	N/A
A0QYQ0	N/A
A0QYR3	N/A
A0R006	N/A
A0R012	N/A
A0R049	N/A
A0R054	N/A
A0R082	N/A
A0R0F3	N/A
A0R0W9	N/A
A0R2J4	N/A
A0R2U6	N/A
A0R2V4	N/A
A0R2X1	N/A
A0R2X3	N/A
A0R316	N/A
A0R368	N/A
A0R3C1	N/A
A0R3K5	N/A
A0R3L2	N/A
A0R3M3	N/A
A0R3M6	N/A
A0R4B3	N/A
A0R4G4	N/A
A0R4R5	N/A
A0R574	N/A
A0R582	N/A
A0R5B0	N/A
A0R5D6	N/A
A0R5R8	N/A
A0R5Z0	N/A
A0R6Z6	N/A
A0R7H5	N/A
A0R7J1	N/A
A0R7J6	N/A
A1JS01	N/A
A1JS57	N/A
A1KEI6	N/A
A1KEM3	N/A
A1KEN2	N/A
A1KEU8	N/A
A1KF76	N/A
A1KFE4	N/A
A1KFH2	N/A
A1KFH3	N/A
A1KFQ1	N/A
A1KFR2	N/A
A1KFV6	N/A
A1KG00	N/A
A1KG35	N/A
A1KG43	N/A
A1KGB4	N/A
A1KGE8	N/A
A1KGF0	N/A
A1KGG3	N/A
A1KGG5	N/A
A1KGI6	N/A
A1KGI8	N/A
A1KGJ6	N/A
A1KGL4	N/A
A1KGY5	N/A
A1KH33	N/A
A1KH91	N/A
A1KHA2	N/A
A1KHE8	N/A
A1KHE9	N/A
A1KHL8	N/A
A1KHN9	N/A
A1KHS4	N/A
A1KI95	N/A
A1KI97	N/A
A1KIM7	N/A
A1KIN7	N/A
A1KIS1	N/A
A1KJ01	N/A
A1KJ27	N/A
A1KJD0	N/A
A1KJN3	N/A
A1KJP9	N/A
A1KJR2	N/A
A1KJR4	N/A
A1KJX3	N/A
A1KKE0	N/A
A1KKH3	N/A
A1KKJ6	N/A
A1KKJ8	N/A
A1KKK8	N/A
A1KKK9	N/A
A1KKQ5	N/A
A1KL43	N/A
A1KLE1	N/A
A1KLF8	N/A
A1KLQ3	N/A
A1KLT2	N/A
A1KLV6	N/A
A1KMC6	N/A
A1KMI1	N/A
A1KMI2	N/A
A1KML3	N/A
A1KML5	N/A
A1KMM4	N/A
A1KMQ3	N/A
A1KMU5	N/A
A1KMW6	N/A
A1KNQ0	N/A
A1KP49	N/A
A1KP65	N/A
A1KPA9	N/A
A1KPC8	N/A
A1KPE4	N/A
A1KPE8	N/A
A1KPR8	N/A
A1KPS2	N/A
A1KQF8	N/A
A1KQG0	N/A
A1KQH3	N/A
A2RN46	N/A
A2T9S8	N/A
A3M1G4	N/A
A3M8K2	N/A
A4F5N2	N/A
A4F5N9	N/A
A4F5R2	N/A
A4F5S3	N/A
A4F5S9	N/A
A4F5W8	N/A
A4F5Z4	N/A
A4F627	MSA0904
A4F672	MSA0208
A4F673	N/A
A4F696	MSA0279
A4F6D0	MSA0446
A4F6H7	MSA0457
A4F6I7	MSA0709
A4F6L2	MSA0258
A4F6R6	N/A
A4F6T8	MSA0361
A4F6U4	MSA0387
A4F6X7	MSA0474
A4F6Y5	N/A
A4F709	MSA0115
A4F741	N/A
A4F749	MSA0308
A4F761	N/A
A4F779	N/A
A4F7E0	MSA0396
A4F7G2	MSA0194
A4F7J1	N/A
A4F7L1	MSA0892
A4F7L3	N/A
A4F7T4	N/A
A4F7U1	MSA0579
A4F7V1	MSA0115
A4F7Y7	MSA0644
A4F7Z3	MSA0608
A4F812	MSA0560
A4F831	N/A
A4F834	N/A
A4F864	MSA0992
A4F866	MSA0469
A4F8H9	MSA0977
A4F8K1	N/A
A4F8L7	N/A
A4F8M0	N/A
A4F8N5	N/A
A4F8P2	N/A
A4F8P6	MSA0399
A4F8Q6	N/A
A4F8R2	MSA0566
A4F8W1	MSA0859
A4F8X2	N/A
A4F9A1	N/A
A4F9C2	N/A
A4F9D0	N/A
A4F9K3	N/A
A4F9L3	MSA0354
A4F9N4	MSA0332
A4F9P6	MSA0889
A4F9S0	MSA0972
A4F9S9	MSA0356
A4F9T1	MSA0232
A4F9U5	MSA0450
A4F9X1	MSA0179
A4FA57	N/A
A4FA64	MSA0632
A4FA98	MSA0228
A4FAC4	N/A
A4FAD7	MSA0501
A4FAF3	N/A
A4FAH9	MSA0314
A4FAK3	MSA0815
A4FAK6	N/A
A4FAP2	MSA0807
A4FAP3	MSA0324
A4FAT2	MSA0175
A4FB27	N/A
A4FBB3	MSA0229
A4FBC4	N/A
A4FBD3	MSA0009
A4FBI4	MSA0145
A4FBP1	MSA0014
A4FBQ8	MSA0342
A4FBR0	MSA0865
A4FBX6	N/A
A4FBY4	N/A
A4FC08	N/A
A4FC51	N/A
A4FCQ4	N/A
A4FCW1	N/A
A4FD29	MSA1087
A4FDM8	N/A
A4FDV0	N/A
A4FDV3	MSA0361
A4FDX2	N/A
A4FE67	N/A
A4FEJ5	N/A
A4FER8	N/A
A4FES9	N/A
A4FET2	N/A
A4FEW8	N/A
A4FF50	MSA1094
A4FF68	MSA0115
A4FF97	MSA0278
A4FFD6	MSA0319
A4FFJ7	MSA0500
A4FFV0	N/A
A4FG56	N/A
A4FG72	MSA0497
A4FGD8	N/A
A4FGG8	MSA0606
A4FGJ5	MSA0345
A4FGJ7	N/A
A4FH07	MSA0813
A4FH16	MSA0040
A4FH84	N/A
A4FHF0	N/A
A4FHI1	N/A
A4FHN5	N/A
A4FHR3	MSA0556
A4FHU9	MSA0417
A4FIF5	N/A
A4FIQ4	MSA0708
A4FIR1	MSA0263
A4FJJ5	N/A
A4FJU5	MSA0986
A4FK75	MSA0395
A4FKG8	N/A
A4FKH5	N/A
A4FKK6	MSA0501
A4FKK9	MSA0875
A4FKM7	MSA0396
A4FKN3	N/A
A4FKU9	MSA1041
A4FKW8	N/A
A4FKX2	N/A
A4FKX6	N/A
A4FL79	MSA0434
A4FLD8	MSA0595
A4FLI8	N/A
A4FLP4	N/A
A4FLT1	N/A
A4FLT9	MSA1032
A4FLU1	N/A
A4FLU4	N/A
A4FM34	N/A
A4FM62	MSA0647
A4FMD6	MSA0199
A4FME7	MSA0241
A4FMF1	N/A
A4FMJ9	MSA0239
A4FML6	MSA0506
A4FMN8	MSA0491
A4FMQ3	N/A
A4FMQ5	MSA0045
A4FMR9	MSA0048
A4FMU4	MSA0836
A4FMU5	MSA0849
A4FMY9	N/A
A4FN01	N/A
A4FN27	MSA0041
A4FN29	MSA0042
A4FN31	MSA0443
A4FN42	N/A
A4FN70	MSA0455
A4FN85	N/A
A4FNA3	N/A
A4FNB7	N/A
A4FND0	N/A
A4FNH5	MSA0703
A4FNI7	MSA0423
A4FNJ6	N/A
A4FNK4	MSA0533
A4FNL5	N/A
A4FNN8	N/A
A4FNQ9	MSA0384
A4FNX4	MSA0830
A4FP30	N/A
A4FP45	N/A
A4FP58	N/A
A4FP59	MSA0053
A4FP81	N/A
A4FP82	N/A
A4FP99	N/A
A4FPA4	N/A
A4FPA5	MSA0308
A4FPA6	MSA0178
A4FPC7	MSA1038
A4FPD9	N/A
A4FPI2	N/A
A4FPJ2	MSA0154
A4FPL9	N/A
A4FPM0	MSA0065
A4FPM6	MSA0036
A4FPM7	MSA0035
A4FPQ5	N/A
A4FPS4	MSA0771
A4FPS6	N/A
A4FPT8	MSA0421
A4FPT9	N/A
A4FPW7	N/A
A4FPX2	MSA0278
A4FPY3	MSA0133
A4FQ00	N/A
A4FQ07	N/A
A4FQ59	N/A
A4FQ74	MSA1094
A4FQE0	MSA0974
A4FQE1	N/A
A4FQF3	N/A
A4FQL5	MSA0703
A4FQP3	MSA0295
A4FQQ3	N/A
A4FQV0	N/A
A4FQV7	MSA0605
A4FR03	N/A
A4FR20	N/A
A4FR32	MSA0252
A4FR37	N/A
A4FR43	N/A
A4FR48	MSA0880
A4FR54	MSA0331
A4FR66	N/A
A4GZC4	N/A
A4VUK1	N/A
A4VYN7	N/A
A4VYQ9	N/A
A4VZM2	N/A
A4VZZ3	N/A
A4W6D5	N/A
A5A547	N/A
A5A6E0	N/A
A5A6E1	N/A
A5F2R1	N/A
A5F2S8	N/A
A5F5X0	N/A
A5F5Y7	N/A
A5TY85	N/A
A5U1J9	N/A
A6QEJ9	N/A
A6QEK0	N/A
A6QES8	N/A
A6QF82	N/A
A6QFE3	N/A
A6QFH3	N/A
A6QG89	N/A
A6QGC0	N/A
A6QGJ4	N/A
A6QGZ6	N/A
A6QH73	N/A
A6QHF1	N/A
A6QHF8	N/A
A6QHI6	N/A
A6QHK1	N/A
A6QHK8	N/A
A6QHX1	N/A
A6QIV7	N/A
A6QIW4	N/A
A6QJ77	N/A
A6QJ80	N/A
A6QJK3	N/A
A6QJK4	N/A
A6QK93	N/A
A6T6C0	N/A
A6T751	N/A
A6T8G6	N/A
A6TDR7	N/A
A6TEX7	N/A
A6TGC6	N/A
A6THD2	N/A
A7FKP6	N/A
A7HD43	N/A
A7HD44	N/A
A7K468	N/A
A7K6K8	N/A
A7MRY4	N/A
A7MVC1	N/A
A7MVC2	N/A
A7N3Z3	N/A
A7N6S2	N/A
A7X5Y5	N/A
A7X5Y6	N/A
A7Z0L6	N/A
A7Z0N4	N/A
A7Z0R1	N/A
A7Z4N7	N/A
A7Z4S1	N/A
A7Z7J8	N/A
A7Z8Y1	N/A
A7ZPV7	N/A
A7ZR34	N/A
A7ZRX6	N/A
A7ZSL4	N/A
A8ACN8	MSA0042
A8AD18	MSA0549
A8AD67	MSA0078
A8AG06	MSA0969
A8AMQ1	MSA0176
A8ANQ0	MSA0693
A8AQ65	MSA0533
A8AQK7	MSA0139
A8G8E8	N/A
A9QSH6	N/A
B0LF85	N/A
B0R2Y8	N/A
B0R319	N/A
B0R347	N/A
B0R351	N/A
B0R396	N/A
B0R3E7	N/A
B0R3H4	N/A
B0R3H6	N/A
B0R3L0	N/A
B0R3T9	N/A
B0R424	N/A
B0R460	N/A
B0R4A4	N/A
B0R4C7	N/A
B0R4C8	N/A
B0R4E6	N/A
B0R4G7	N/A
B0R4K1	N/A
B0R4M9	N/A
B0R4U7	N/A
B0R4X6	N/A
B0R4Y1	N/A
B0R4Y4	N/A
B0R502	N/A
B0R507	N/A
B0R5A2	N/A
B0R5B6	N/A
B0R5T1	N/A
B0R5V7	N/A
B0R639	N/A
B0R656	N/A
B0R669	N/A
B0R673	N/A
B0R6B9	N/A
B0R6E4	N/A
B0R6J7	N/A
B0R6K8	N/A
B0R6N0	N/A
B0R6N9	N/A
B0R6U9	N/A
B0R6V4	N/A
B0R716	N/A
B0R718	N/A
B0R730	N/A
B0R733	N/A
B0R740	N/A
B0R758	N/A
B0R761	N/A
B0R7B7	N/A
B0R7B9	N/A
B0R7D2	N/A
B0R7F9	N/A
B0R7G0	N/A
B0R7H4	N/A
B0R7J8	N/A
B0R7N5	N/A
B0R7N9	N/A
B0R7X8	N/A
B0R809	N/A
B0R827	N/A
B0R854	N/A
B0R868	N/A
B0R894	N/A
B0R895	N/A
B0R8C3	N/A
B0R8C8	N/A
B0R8D1	N/A
B0R9W9	N/A
B0R9X0	N/A
B0R9Z1	N/A
B0RSD3	N/A
B0RVK5	N/A
B0RY12	N/A
B0VCC7	N/A
B0VKB2	N/A
B0VKC5	N/A
B0VKH6	N/A
B0VKN4	N/A
B0VKN8	N/A
B0VKV8	N/A
B0VL30	N/A
B0VL49	N/A
B0VLB4	N/A
B0VLB7	N/A
B0VLI7	N/A
B0VLL5	N/A
B0VLN6	N/A
B0VLP7	N/A
B0VLP9	N/A
B0VLR9	N/A
B0VLS2	N/A
B0VLT3	N/A
B0VLV5	N/A
B0VLX0	N/A
B0VLX4	N/A
B0VLX9	N/A
B0VLY6	N/A
B0VLZ5	N/A
B0VM09	N/A
B0VM15	N/A
B0VM17	N/A
B0VM27	N/A
B0VM34	N/A
B0VM40	N/A
B0VM41	N/A
B0VM47	N/A
B0VM50	N/A
B0VM65	N/A
B0VM70	N/A
B0VM78	N/A
B0VMA3	N/A
B0VMG0	N/A
B0VMK3	N/A
B0VMK6	N/A
B0VMK7	N/A
B0VMM1	N/A
B0VMQ4	N/A
B0VMU1	N/A
B0VMU5	N/A
B0VMV0	N/A
B0VMX7	N/A
B0VMY0	N/A
B0VMZ1	N/A
B0VN00	N/A
B0VN01	N/A
B0VN09	N/A
B0VN34	N/A
B0VN61	N/A
B0VN84	N/A
B0VNB3	N/A
B0VNB8	N/A
B0VND0	N/A
B0VND4	N/A
B0VNF4	N/A
B0VNK2	N/A
B0VNK4	N/A
B0VNK8	N/A
B0VNW5	N/A
B0VNW6	N/A
B0VNW9	N/A
B0VNX2	N/A
B0VP28	N/A
B0VP32	N/A
B0VP39	N/A
B0VP54	N/A
B0VP87	N/A
B0VP88	N/A
B0VP98	N/A
B0VPA7	N/A
B0VPB1	N/A
B0VPD8	N/A
B0VPF0	N/A
B0VPG4	N/A
B0VPG9	N/A
B0VPH0	N/A
B0VPH3	N/A
B0VPK0	N/A
B0VPK8	N/A
B0VPL2	N/A
B0VPL3	N/A
B0VPL4	N/A
B0VPN2	N/A
B0VPS1	N/A
B0VPZ3	N/A
B0VQ03	N/A
B0VQ05	N/A
B0VQ41	N/A
B0VQ52	N/A
B0VQ53	N/A
B0VQ75	N/A
B0VQ84	N/A
B0VQ97	N/A
B0VQI4	N/A
B0VQI5	N/A
B0VQI6	N/A
B0VQJ8	N/A
B0VQK7	N/A
B0VQL2	N/A
B0VQM1	N/A
B0VQN1	N/A
B0VQV5	N/A
B0VQW4	N/A
B0VQX4	N/A
B0VQZ5	N/A
B0VR06	N/A
B0VR12	N/A
B0VR17	N/A
B0VR18	N/A
B0VR25	N/A
B0VR59	N/A
B0VR79	N/A
B0VRB4	N/A
B0VRC9	N/A
B0VRD1	N/A
B0VRG2	N/A
B0VRH0	N/A
B0VRH4	N/A
B0VRH6	N/A
B0VRJ0	N/A
B0VRK6	N/A
B0VRK7	N/A
B0VRK9	N/A
B0VRL3	N/A
B0VRL9	N/A
B0VRN3	N/A
B0VRN5	N/A
B0VRN8	N/A
B0VRN9	N/A
B0VRW1	N/A
B0VRX0	N/A
B0VRX4	N/A
B0VRZ6	N/A
B0VS13	N/A
B0VSA2	N/A
B0VSA6	N/A
B0VSB0	N/A
B0VSC3	N/A
B0VSC6	N/A
B0VSC7	N/A
B0VSG3	N/A
B0VSH0	N/A
B0VSK6	N/A
B0VSK9	N/A
B0VSL1	N/A
B0VSM6	N/A
B0VSP4	N/A
B0VSP5	N/A
B0VSP8	N/A
B0VSR1	N/A
B0VT26	N/A
B0VT30	N/A
B0VT37	N/A
B0VT43	N/A
B0VT50	N/A
B0VT51	N/A
B0VT70	N/A
B0VT89	N/A
B0VTA3	N/A
B0VTE3	N/A
B0VTE4	N/A
B0VTE7	N/A
B0VTF2	N/A
B0VTG3	N/A
B0VTG4	N/A
B0VTG5	N/A
B0VTG6	N/A
B0VTG7	N/A
B0VTK7	N/A
B0VTL0	N/A
B0VTL8	N/A
B0VTN8	N/A
B0VTP6	N/A
B0VTQ1	N/A
B0VTR7	N/A
B0VTW8	N/A
B0VTY1	N/A
B0VTY5	N/A
B0VU03	N/A
B0VU34	N/A
B0VU36	N/A
B0VU39	N/A
B0VU92	N/A
B0VUG0	N/A
B0VUH1	N/A
B0VUQ9	N/A
B0VUR7	N/A
B0VUS6	N/A
B0VUT0	N/A
B0VUT7	N/A
B0VUU5	N/A
B0VUU9	N/A
B0VUW0	N/A
B0VUW1	N/A
B0VUX3	N/A
B0VV27	N/A
B0VV34	N/A
B0VVA3	N/A
B0VVG9	N/A
B1LJZ7	N/A
B1XHQ1	N/A
B1XHR0	N/A
B1XHU3	N/A
B1XHV3	N/A
B1XHW1	N/A
B1XHX8	N/A
B1XHY8	N/A
B1XI00	N/A
B1XI15	N/A
B1XI23	N/A
B1XI27	N/A
B1XI34	N/A
B1XI63	N/A
B1XI89	N/A
B1XIB1	N/A
B1XID3	N/A
B1XID9	N/A
B1XIJ8	N/A
B1XIQ3	N/A
B1XIR1	N/A
B1XIS1	N/A
B1XIT7	N/A
