Protein	Tax_id,,Tax_name,,Species,,Genus,,Family,,Order,,Class,,Phylum,,Kingdom,,Superkingdom
A0A0H3MEX2	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MF00	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MF18	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MF83	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFB2	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFE2	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFE4	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFG4	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFH8	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFK2	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFQ3	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFQ9	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFR0	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFR6	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFV3	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFX3	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFX4	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MFY3	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MG92	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MGE2	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MGI9	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MGQ7	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MGR2	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MGY7	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MH40	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MH77	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MH87	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MH99	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MHD1	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MHD6	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MHF4	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MHJ0	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MHJ6	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MHS0	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MHY3	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MI19	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MI44	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MI89	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MIE5	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MIH3	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MII2	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MIK1	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MJ62	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MJ88	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MJA4	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MJE2	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MJE7	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0H3MJH3	410289,,Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,,Mycobacterium tuberculosis,,Mycobacterium,,Mycobacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A0J4N9D7	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0J4RI30	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0J4TJB2	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0J5CNL8	615,,Serratia marcescens,,,,Serratia,,Yersiniaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0J6UPB2	47715,,Lactobacillus rhamnosus,,,,Lactobacillus,,Lactobacillaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A0J9WZ66	484021,,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,,Klebsiella pneumoniae,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0N0VCJ2	1307,,Streptococcus suis,,,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A0N7KW54	484021,,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,,Klebsiella pneumoniae,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0P0YPS5	484021,,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,,Klebsiella pneumoniae,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0P0YPU6	484021,,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,,Klebsiella pneumoniae,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0P0YPV3	484021,,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,,Klebsiella pneumoniae,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0P0YQF2	484021,,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,,Klebsiella pneumoniae,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0U5RPV0	615,,Serratia marcescens,,,,Serratia,,Yersiniaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0U5RZY5	615,,Serratia marcescens,,,,Serratia,,Yersiniaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0U5TCV6	615,,Serratia marcescens,,,,Serratia,,Yersiniaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0U8IEL9	615,,Serratia marcescens,,,,Serratia,,Yersiniaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0V9SPI3	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A0W8AWL7	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A140NDN5	469008,,Escherichia coli BL21(DE3),,Escherichia coli,,Escherichia,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A140NDN6	469008,,Escherichia coli BL21(DE3),,Escherichia coli,,Escherichia,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A140NDV1	469008,,Escherichia coli BL21(DE3),,Escherichia coli,,Escherichia,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A160PV21	1718,,Corynebacterium glutamicum,,,,Corynebacterium,,Corynebacteriaceae,,Corynebacteriales,,Actinobacteria,,Actinobacteria,,,,Bacteria
A0A169AX83	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A193SCD4	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A1C0C6X9	211759,,Serratia marcescens subsp. marcescens,,Serratia marcescens,,Serratia,,Yersiniaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A1C0DP85	211759,,Serratia marcescens subsp. marcescens,,Serratia marcescens,,Serratia,,Yersiniaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A1C0DZB6	211759,,Serratia marcescens subsp. marcescens,,Serratia marcescens,,Serratia,,Yersiniaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A1C0KL46	211759,,Serratia marcescens subsp. marcescens,,Serratia marcescens,,Serratia,,Yersiniaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A1C0PG74	211759,,Serratia marcescens subsp. marcescens,,Serratia marcescens,,Serratia,,Yersiniaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A1C0RDT3	211759,,Serratia marcescens subsp. marcescens,,Serratia marcescens,,Serratia,,Yersiniaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A1C3HJY9	615,,Serratia marcescens,,,,Serratia,,Yersiniaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A1C3PX33	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A1J7G277	573,,Klebsiella pneumoniae,,,,Klebsiella,,Enterobacteriaceae,,Enterobacterales,,Gammaproteobacteria,,Proteobacteria,,,,Bacteria
A0A1J7W1Z7	216495,,Streptococcus agalactiae serogroup III,,Streptococcus agalactiae,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A1J7WFJ7	216495,,Streptococcus agalactiae serogroup III,,Streptococcus agalactiae,,Streptococcus,,Streptococcaceae,,Lactobacillales,,Bacilli,,Firmicutes,,,,Bacteria
A0A1L9C1G9	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C1T0	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C1T3	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C1T4	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C1U6	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C1W0	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C1W6	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C1Z1	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C1Z3	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C200	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C223	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C250	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C283	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C285	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C287	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C2B1	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C2B8	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C2B9	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C2K4	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C2L4	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C2M6	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C2R5	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C2S5	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C2T8	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C2Y6	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C305	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C310	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C334	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C366	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C372	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C383	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C392	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C3A7	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C3B3	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C3C4	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C3D6	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C3E7	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C3J6	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C3K4	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C3L2	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C3M7	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C3N6	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C3N9	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
A0A1L9C3Q0	523843,,Methanohalophilus portucalensis FDF-1,,Methanohalophilus portucalensis,,Methanohalophilus,,Methanosarcinaceae,,Methanosarcinales,,Methanomicrobia,,Euryarchaeota,,,,Archaea
