Protein	Description
C0H440	BSUB:BSU21229-MONOMER
C0H445	BSUB:BSU22849-MONOMER
C0H461	BSUB:BSU27468-MONOMER
C0LZQ0	N/A
C0SP85	BSUB:BSU31910-MONOMER
C0SP93	BSUB:BSU29210-MONOMER
C0SPB6	BSUB:BSU36310-MONOMER
C0SPB8	BSUB:BSU33740-MONOMER
C1KVC0	LMON568819:LM4B_RS07395-MONOMER
C1KW86	LMON568819:LM4B_RS09125-MONOMER
C1KX21	LMON568819:LM4B_RS10555-MONOMER
C1KYE1	LMON568819:LM4B_RS01040-MONOMER
C1KYI2	LMON568819:LM4B_RS01330-MONOMER
C1KYU1	LMON568819:LM4B_RS12695-MONOMER
C1KZK7	LMON568819:LM4B_RS13395-MONOMER
C3W947	N/A
C5BGM2	EICT634503:G1GVC-3284-MONOMER
C8T007	N/A
C8UMQ9	ECOL585396:ECO111_RS06560-MONOMER
D0WT66	N/A
D0WX67	N/A
D0WZ14	N/A
D0X0H0	N/A
D0X3A8	N/A
D0X4G1	N/A
D0ZV89	N/A
D2BKU3	LLAC684738:LLKF_RS09045-MONOMER
D2BKU8	LLAC684738:LLKF_RS09075-MONOMER
D2BKY7	LLAC684738:LLKF_RS09340-MONOMER
D2BKZ2	LLAC684738:LLKF_RS09365-MONOMER
D2BLI2	LLAC684738:LLKF_RS10275-MONOMER
D2BM73	LLAC684738:LLKF_RS11095-MONOMER
D2BMX4	LLAC684738:LLKF_RS11930-MONOMER
D2BNL6	LLAC684738:LLKF_RS12585-MONOMER
D2BNM4	LLAC684738:LLKF_RS12630-MONOMER
D2BNR6	LLAC684738:LLKF_RS02215-MONOMER
D2BP55	LLAC684738:LLKF_RS02955-MONOMER
D2BQ68	N/A
D2BRC3	LLAC684738:LLKF_RS07185-MONOMER
D4GUJ7	N/A
D4GYZ1	N/A
D4H071	N/A
D5E6P6	MMAH547558:G1GHT-1339-MONOMER
D5E6P9	MMAH547558:G1GHT-1342-MONOMER
D5E6Y5	MMAH547558:G1GHT-1428-MONOMER
D5E7U0	MMAH547558:G1GHT-1738-MONOMER
D5E895	MMAH547558:G1GHT-1897-MONOMER
D5E8U2	MMAH547558:G1GHT-61-MONOMER
D5E9H2	MMAH547558:G1GHT-287-MONOMER
D5E9V6	MMAH547558:G1GHT-426-MONOMER
D5E9V9	N/A
D5E9Y3	MMAH547558:G1GHT-454-MONOMER
D5EAE2	MMAH547558:G1GHT-627-MONOMER
D5EB50	MMAH547558:G1GHT-896-MONOMER
D5EBE9	MMAH547558:G1GHT-996-MONOMER
D5EBU5	MMAH547558:G1GHT-1149-MONOMER
D5EBX8	MMAH547558:G1GHT-1183-MONOMER
E2JA29	MetaCyc:MONOMER-19478
F2Z5W8	SACI330779:G1G4L-2234-MONOMER
F2Z5Y7	SACI330779:G1G4L-1552-MONOMER
F2Z5Z2	SACI330779:G1G4L-1313-MONOMER
F2Z692	SACI330779:G1G4L-1554-MONOMER
F2Z698	SACI330779:G1G4L-859-MONOMER
F2Z6D2	SACI330779:G1G4L-1338-MONOMER
F2Z6F6	SACI330779:G1G4L-47-MONOMER
F2Z6G3	SACI330779:G1G4L-1562-MONOMER
F6KV61	N/A
F6KV62	N/A
G2K046	N/A
G2K047	N/A
G3XD28	N/A
G3XD31	N/A
G3XD71	N/A
G5EB01	HPY:HP0642-MONOMER
I6WXK4	MTBH37RV:G185E-4270-MONOMER
I6WYU2	MTBH37RV:G185E-4732-MONOMER
I6WZ58	MTBH37RV:G185E-4857-MONOMER
I6WZG6	MTBH37RV:G185E-4947-MONOMER
I6WZI4	MTBH37RV:G185E-4971-MONOMER
I6WZK7	MTBH37RV:G185E-5000-MONOMER
I6WZM9	MTBH37RV:G185E-5025-MONOMER
I6WZS4	MTBH37RV:G185E-5076-MONOMER
I6X540	MTBH37RV:G185E-6931-MONOMER
I6X5C9	MTBH37RV:G185E-7035-MONOMER
I6X5I7	MTBH37RV:G185E-7098-MONOMER
I6X5T4	MTBH37RV:G185E-7196-MONOMER
I6X6H8	MTBH37RV:G185E-7409-MONOMER
I6X7G4	MTBH37RV:G185E-7770-MONOMER
I6X7W8	MTBH37RV:G185E-7897-MONOMER
I6X827	MTBH37RV:G185E-7967-MONOMER
I6X8D2	MTBH37RV:G185E-8096-MONOMER
I6X961	MTBH37RV:G185E-4588-MONOMER
I6XF31	MTBH37RV:G185E-6944-MONOMER
I6XF52	MTBH37RV:G185E-6969-MONOMER
I6XF60	MTBH37RV:G185E-6979-MONOMER
I6XHG6	MTBH37RV:G185E-7804-MONOMER
I6XVZ6	MTBH37RV:G185E-4829-MONOMER
I6XW38	MTBH37RV:G185E-4875-MONOMER
I6XWB9	MTBH37RV:G185E-4959-MONOMER
I6XZC4	MTBH37RV:G185E-6138-MONOMER
I6Y1H7	MTBH37RV:G185E-6938-MONOMER
I6Y231	MTBH37RV:G185E-7193-MONOMER
I6Y242	MetaCyc:G185E-7210-MONOMER;;MTBH37RV:G185E-7210-MONOMER
I6Y2E2	MTBH37RV:G185E-7310-MONOMER
I6Y2G3	MetaCyc:G185E-7330-MONOMER;;MTBH37RV:G185E-7330-MONOMER
I6Y2I9	MTBH37RV:G185E-7354-MONOMER
I6Y3S9	MTBH37RV:G185E-7807-MONOMER
I6Y3V3	MTBH37RV:G185E-4601-MONOMER
I6Y4D2	MTBH37RV:G185E-8004-MONOMER
I6Y4U9	MTBH37RV:G185E-4948-MONOMER
I6Y4V2	MTBH37RV:G185E-4953-MONOMER
I6Y748	MTBH37RV:G185E-4324-MONOMER
I6Y778	MTBH37RV:G185E-4363-MONOMER
I6Y7V6	MTBH37RV:G185E-6122-MONOMER
I6Y897	MTBH37RV:G185E-4750-MONOMER
I6Y9K2	MTBH37RV:G185E-6766-MONOMER
I6Y9Q3	MTBH37RV:G185E-5297-MONOMER
I6YA03	MTBH37RV:G185E-6927-MONOMER
I6YA17	MTBH37RV:G185E-6947-MONOMER
I6YA29	MTBH37RV:G185E-6962-MONOMER
I6YAV3	MTBH37RV:G185E-7263-MONOMER
I6YC91	MTBH37RV:G185E-7766-MONOMER
I6YDN6	MTBH37RV:G185E-6774-MONOMER
I6YF40	MTBH37RV:G185E-7337-MONOMER
I6YG87	MTBH37RV:G185E-7754-MONOMER
I6YHB0	MTBH37RV:G185E-8150-MONOMER
I7FGY5	N/A
J9R0U7	RANA1228997:G1H9U-2028-MONOMER
K1VPX5	APLA459495:G10IC-5711-MONOMER
K1VZL1	APLA459495:G10IC-5871-MONOMER
K1W040	APLA459495:G10IC-5597-MONOMER
K1W0W3	APLA459495:G10IC-5191-MONOMER
K1W2U9	N/A
K1W772	APLA459495:G10IC-2523-MONOMER
K1W7L7	N/A
K1WFA9	APLA459495:G10IC-828-MONOMER
K1WPM3	APLA459495:G10IC-1414-MONOMER
K1WR40	APLA459495:G10IC-653-MONOMER
K1WSH3	APLA459495:G10IC-580-MONOMER
K1X2U2	APLA459495:G10IC-4806-MONOMER
K1XE41	APLA459495:G10IC-905-MONOMER
K1XG38	APLA459495:G10IC-561-MONOMER
K4PDN9	N/A
L0T2Z1	MTBH37RV:G185E-4317-MONOMER
L0T905	MTBH37RV:G185E-5393-MONOMER
L0TFC2	MTBH37RV:G185E-7620-MONOMER
L7N653	MTBH37RV:G185E-8213-MONOMER
L7N657	MTBH37RV:G185E-4282-MONOMER
L7N663	MTBH37RV:G185E-7579-MONOMER
L7N664	MTBH37RV:G185E-5654-MONOMER
L7N668	MTBH37RV:G185E-7464-MONOMER
L7N673	MTBH37RV:G185E-5828-MONOMER
L7N675	MTBH37RV:G185E-5365-MONOMER
L7N686	MTBH37RV:G185E-4194-MONOMER
L7N690	MTBH37RV:G185E-7580-MONOMER
L7N6A4	MTBH37RV:G185E-5158-MONOMER
L7N6B0	MTBH37RV:G185E-4358-MONOMER
L9UQ37	N/A
N1UKI7	LINT1085541:G11IQ-5390-MONOMER
O05223	BSUB:BSU36040-MONOMER
O05236	BSUB:BSU31410-MONOMER
O05251	BSUB:BSU31530-MONOMER
O05268	BSUB:BSU32110-MONOMER
O05310	MTBH37RV:G185E-5379-MONOMER
O05312	MTBH37RV:G185E-5381-MONOMER
O05389	BSUB:BSU27770-MONOMER
O05410	BSUB:BSU26830-MONOMER
O05436	MTBH37RV:G185E-8207-MONOMER
O05442	MTBH37RV:G185E-8201-MONOMER
O05450	MTBH37RV:G185E-8192-MONOMER
O05456	MTBH37RV:G185E-8186-MONOMER
O05495	BSUB:BSU05710-MONOMER
O05518	BSUB:BSU05940-MONOMER
O05519	BSUB:BSU05950-MONOMER
O05520	BSUB:BSU05960-MONOMER
O05521	BSUB:BSU05970-MONOMER
O05582	MTBH37RV:G185E-5157-MONOMER
O05634	SACI330779:G1G4L-562-MONOMER
O05640	SACI330779:G1G4L-555-MONOMER
O05641	N/A
O05771	MTBCDC1551:GT3Z-7664-MONOMER
O05773	MTBH37RV:G185E-7356-MONOMER
O05777	MTBH37RV:G185E-7363-MONOMER
O05780	MTBH37RV:G185E-7367-MONOMER
O05823	MTBH37RV:G185E-6601-MONOMER
O05828	MTBH37RV:G185E-6596-MONOMER
O05853	MTBH37RV:G185E-7484-MONOMER
O05855	MTBH37RV:G185E-7482-MONOMER
O05877	MTBH37RV:G185E-7506-MONOMER
O05981	SACI330779:G1G4L-548-MONOMER
O05982	SACI330779:G1G4L-547-MONOMER
O06137	MTBH37RV:G185E-5808-MONOMER
O06159	MTBH37RV:G185E-6731-MONOMER
O06170	MTBH37RV:G185E-6743-MONOMER
O06194	MTBH37RV:G185E-6863-MONOMER
O06218	MTBH37RV:G185E-6367-MONOMER
O06243	MTBH37RV:G185E-6338-MONOMER
O06263	MTBH37RV:G185E-7723-MONOMER
O06278	MTBH37RV:G185E-7883-MONOMER
O06311	MTBH37RV:G185E-4485-MONOMER
O06396	MTBH37RV:G185E-4662-MONOMER
O06403	MTBH37RV:G185E-4670-MONOMER
O06404	MTBH37RV:G185E-4671-MONOMER
O06457	SSOL273057:G1FZF-1100-MONOMER
O06476	BSUB:BSU07370-MONOMER
O06491	BSUB:BSU06680-MONOMER;;MetaCyc:MONOMER-13955
O06492	BSUB:BSU06670-MONOMER;;MetaCyc:MONOMER-13957
O06538	MTBH37RV:G185E-5305-MONOMER
O06597	MTBH37RV:G185E-5781-MONOMER
O06604	MTBH37RV:G185E-5774-MONOMER
O06611	MTBH37RV:G185E-5767-MONOMER
O06614	MTBH37RV:G185E-5764-MONOMER
O06802	MTBH37RV:G185E-5965-MONOMER
O06807	MTBH37RV:G185E-5636-MONOMER
O06825	MTBH37RV:G185E-5616-MONOMER
O06925	MetaCyc:MONOMER-14283
O06974	BSUB:BSU34760-MONOMER
O06976	BSUB:BSU34740-MONOMER
O07012	BSUB:BSU34130-MONOMER
O07021	BSUB:BSU34040-MONOMER
O07180	MTBCDC1551:GT3Z-5153-MONOMER
O07181	MTBCDC1551:GT3Z-5152-MONOMER
O07196	MTBH37RV:G185E-6942-MONOMER
O07198	MTBCDC1551:GT3Z-7234-MONOMER
O07227	MTBH37RV:G185E-4423-MONOMER
O07235	MTBH37RV:G185E-4431-MONOMER
O07239	MTBH37RV:G185E-4435-MONOMER
O07255	MTBH37RV:G185E-4455-MONOMER
O07406	MetaCyc:G185E-4279-MONOMER;;MTBH37RV:G185E-4279-MONOMER
O07411	MTBH37RV:G185E-4284-MONOMER
O07416	MTBH37RV:G185E-4290-MONOMER
O07419	MTBH37RV:G185E-4293-MONOMER
O07422	MTBH37RV:G185E-4296-MONOMER
O07521	BSUB:BSU09930-MONOMER
O07542	BSUB:BSU09800-MONOMER
O07584	BSUB:BSU09540-MONOMER
O07596	BSUB:BSU09660-MONOMER
O07634	BSUB:BSU14800-MONOMER
O07636	BSUB:BSU14820-MONOMER
O07678	HPY:HP1068-MONOMER
O07717	MTBH37RV:G185E-6113-MONOMER
O07720	MTBH37RV:G185E-6110-MONOMER
O07728	MTBH37RV:G185E-6101-MONOMER
O07806	MTBH37RV:G185E-8113-MONOMER
O07809	MTBH37RV:G185E-8110-MONOMER
O07853	SACI330779:G1G4L-1278-MONOMER
O08309	N/A
O08314	HPY:HP0281-MONOMER
O08335	BSUB:BSU27170-MONOMER
O08357	SACI330779:G1G4L-1557-MONOMER
O08359	SACI330779:G1G4L-1561-MONOMER
O08394	BSUB:BSU07250-MONOMER
O24862	HPY:HP0017-MONOMER
O24870	HPY:HP0025-MONOMER
O24875	HPY:HP0033-MONOMER
O24895	HPY:HP0054-MONOMER
O24900	HPY:HP0060-MONOMER
O24904	HPY:HP0064-MONOMER
O24911	HPY:HP0082-MONOMER
O24916	HPY:HP0090-MONOMER
O24922	HPY:HP0096-MONOMER
O24934	HPY:HP0112-MONOMER
O24974	HPY:HP0167-MONOMER
O24978	HPY:HP0173-MONOMER
O25008	HPY:HP0220-MONOMER
O25029	HPY:HP0247-MONOMER
O25032	HPY:HP0250-MONOMER
O25047	HPY:HP0268-MONOMER
O25058	HPY:HP0282-MONOMER
O25066	HPY:HP0293-MONOMER
O25068	HPY:HP0295-MONOMER
O25121	HPY:HP0354-MONOMER
O25125	HPY:HP0358-MONOMER
O25130	HPY:HP0366-MONOMER;;MetaCyc:HP0366-MONOMER
O25164	HPY:HP0408-MONOMER
O25170	HPY:HP0415-MONOMER
O25176	HPY:HP0422-MONOMER
O25196	HPY:HP0448-MONOMER
O25214	HPY:HP0468-MONOMER
O25235	HPY:HP0493-MONOMER
O25247	HPY:HP0506-MONOMER
O25252	HPY:HP0513-MONOMER
O25273	HPY:HP0540-MONOMER
O25284	HPY:HP0558-MONOMER;;MetaCyc:HP0558-MONOMER
O25298	HPY:HP0574-MONOMER
O25308	HPY:HP0586-MONOMER
O25330	HPY:HP0609-MONOMER
O25395	HPY:HP0686-MONOMER
O25396	HPY:HP0687-MONOMER
O25400	HPY:HP0693-MONOMER
O25402	HPY:HP0695-MONOMER
O25436	HPY:HP0736-MONOMER
O25461	HPY:HP0766-MONOMER
O25466	HPY:HP0775-MONOMER
O25500	HPY:HP0826-MONOMER;;MetaCyc:HP0826-MONOMER
O25510	HPY:HP0839-MONOMER
O25526	HPY:HP0855-MONOMER
O25547	HPY:HP0880-MONOMER
O25553	HPY:HP0893-MONOMER
O25595	HPY:HP0941-MONOMER
O25610	HPY:HP0956-MONOMER
O25616	HPY:HP0963-MONOMER
O25661	HPY:HP1017-MONOMER
O25664	HPY:HP1020-MONOMER
O25672	HPY:HP1028-MONOMER
O25695	HPY:HP1055-MONOMER
O25752	HPY:HP1127-MONOMER
O25806	HPY:HP1198-MONOMER
O25819	HPY:HP1220-MONOMER
O25852	HPY:HP1262-MONOMER
O25879	HPY:HP1300-MONOMER
O25953	HPY:HP1403-MONOMER
O26013	HPY:HP1478-MONOMER
O26019	HPY:HP1485-MONOMER
O26037	HPY:HP1507-MONOMER
O26046	HPY:HP1517-MONOMER
O26058	HPY:HP1530-MONOMER
O26090	HPY:HP1570-MONOMER
O26094	HPY:HP1574-MONOMER
O26098	HPY:HP1578-MONOMER
O26103	HPY:HP1583-MONOMER
O28471	N/A
O30245	N/A
O30409	N/A
O31149	LMON169963:LMO1003-MONOMER
O31447	BSUB:BSU02200-MONOMER
O31458	BSUB:BSU02360-MONOMER
O31462	BSUB:BSU02400-MONOMER
O31487	BSUB:BSU04290-MONOMER
O31489	BSUB:BSU04780-MONOMER
O31501	BSUB:BSU06710-MONOMER
O31509	BSUB:BSU06840-MONOMER
O31540	BSUB:BSU07210-MONOMER
O31541	BSUB:BSU07220-MONOMER
O31544	BSUB:BSU08010-MONOMER
O31556	BSUB:BSU08150-MONOMER
O31567	BSUB:BSU08440-MONOMER
O31587	BSUB:BSU08880-MONOMER
O31592	BSUB:BSU08990-MONOMER
O31605	BSUB:BSU11540-MONOMER
O31609	BSUB:BSU11580-MONOMER
O31611	BSUB:BSU11600-MONOMER
O31612	BSUB:BSU11610-MONOMER
O31618	BSUB:BSU11690-MONOMER;;MetaCyc:BSU11690-MONOMER
O31622	BSUB:BSU11730-MONOMER
O31629	BSUB:BSU11850-MONOMER
O31644	BSUB:BSU12000-MONOMER
O31645	BSUB:BSU12010-MONOMER
O31646	BSUB:BSU12020-MONOMER
O31657	BSUB:BSU13490-MONOMER
O31662	BSUB:BSU13550-MONOMER
O31663	BSUB:BSU13560-MONOMER
O31666	BSUB:BSU13590-MONOMER;;MetaCyc:BSU13590-MONOMER
O31669	BSUB:BSU13620-MONOMER
O31672	BSUB:BSU13670-MONOMER
O31673	BSUB:BSU13700-MONOMER
O31684	BSUB:BSU13810-MONOMER
O31691	BSUB:BSU13880-MONOMER
O31716	BSUB:BSU14430-MONOMER
O31717	BSUB:BSU14440-MONOMER
O31741	BSUB:BSU16030-MONOMER
O31749	BSUB:BSU16510-MONOMER
O31760	BSUB:BSU16780-MONOMER
O31761	BSUB:BSU16810-MONOMER
O31768	BSUB:BSU16880-MONOMER
O31771	BSUB:BSU16910-MONOMER
O31774	BSUB:BSU16960-MONOMER
O31777	BSUB:BSU17000-MONOMER
O31782	BSUB:BSU17210-MONOMER
O31856	BSUB:BSU19450-MONOMER
O31875	BSUB:BSU20060-MONOMER
O31892	BSUB:BSU20230-MONOMER
O31903	BSUB:BSU20350-MONOMER
O31912	BSUB:BSU20450-MONOMER
O31962	BSUB:BSU21210-MONOMER
O31989	BSUB:BSU21490-MONOMER
O31993	BSUB:BSU21530-MONOMER
O32022	BSUB:BSU24930-MONOMER
O32033	BSUB:BSU27330-MONOMER
O32038	BSUB:BSU27550-MONOMER
O32039	BSUB:BSU27560-MONOMER
O32049	BSUB:BSU27660-MONOMER
O32052	BSUB:BSU27700-MONOMER
O32053	BSUB:BSU27710-MONOMER
O32076	BSUB:BSU31010-MONOMER
O32082	BSUB:BSU31110-MONOMER
O32104	BSUB:BSU32030-MONOMER
O32113	BSUB:BSU32160-MONOMER
O32119	BSUB:BSU32220-MONOMER
O32129	BSUB:BSU32330-MONOMER;;MetaCyc:BSU32330-MONOMER
O32132	BSUB:BSU32360-MONOMER
O32144	BSUB:BSU32480-MONOMER
O32151	BSUB:BSU32550-MONOMER
O32157	BSUB:BSU32610-MONOMER
O32162	BSUB:BSU32670-MONOMER
O32163	BSUB:BSU32680-MONOMER
O32164	BSUB:BSU32690-MONOMER
O32165	BSUB:BSU32700-MONOMER
O32169	BSUB:BSU32750-MONOMER
O32173	BSUB:BSU32790-MONOMER
O32175	BSUB:BSU32810-MONOMER
O32178	BSUB:BSU32840-MONOMER
O32213	BSUB:BSU33430-MONOMER
O32222	BSUB:BSU33520-MONOMER
O32224	BSUB:BSU33540-MONOMER
O32231	BSUB:BSU33610-MONOMER
O32259	BSUB:BSU34030-MONOMER
O32264	BSUB:BSU34680-MONOMER
O32294	BSUB:BSU40300-MONOMER
O32504	N/A
O32712	MetaCyc:MONOMER-13754
O32723	N/A
O33198	MTBH37RV:G185E-5888-MONOMER
O33206	MTBH37RV:G185E-5899-MONOMER
O33237	MTBH37RV:G185E-6980-MONOMER
O33263	MTBH37RV:G185E-6335-MONOMER
O33289	MTBH37RV:G185E-6996-MONOMER
O33298	MTBH37RV:G185E-7005-MONOMER
O33329	MTBH37RV:G185E-7036-MONOMER
O33332	MTBH37RV:G185E-7039-MONOMER
O33361	MTBH37RV:G185E-4648-MONOMER
O33600	SACI330779:G1G4L-48-MONOMER
O33618	SCAR396513:SCA_RS05010-MONOMER
O33749	N/A
O33768	SSOL273057:G1FZF-622-MONOMER
O33770	SSOL273057:G1FZF-624-MONOMER
O33775	SSOL273057:G1FZF-629-MONOMER
O33780	SSOL273057:G1FZF-634-MONOMER
O34094	LINT189518:G1GL4-2145-MONOMER
O34153	N/A
O34154	EFAE226185:G1G0C-1894-MONOMER
O34206	N/A
O34303	BSUB:BSU06110-MONOMER
O34324	BSUB:BSU08090-MONOMER
O34325	BSUB:BSU29650-MONOMER
O34328	BSUB:BSU15680-MONOMER
O34334	BSUB:BSU12410-MONOMER
O34338	BSUB:BSU30760-MONOMER
O34347	BSUB:BSU29450-MONOMER
O34384	BSUB:BSU02910-MONOMER
O34410	HPY:HP0488-MONOMER;;HPY:HP1116-MONOMER
O34425	BSUB:BSU29020-MONOMER
O34443	BSUB:BSU27610-MONOMER
O34445	BSUB:BSU15070-MONOMER
O34447	BSUB:BSU02920-MONOMER
O34486	BSUB:BSU07790-MONOMER
O34499	BSUB:BSU13010-MONOMER
O34507	BSUB:BSU15770-MONOMER
O34512	BSUB:BSU07420-MONOMER
O34513	BSUB:BSU15060-MONOMER
O34529	BSUB:BSU29190-MONOMER
O34530	BSUB:BSU15780-MONOMER
O34536	BSUB:BSU07440-MONOMER
O34542	BSUB:BSU07650-MONOMER
O34549	BSUB:BSU15090-MONOMER
O34588	BSUB:BSU14100-MONOMER
O34591	BSUB:BSU08070-MONOMER
O34618	BSUB:BSU30530-MONOMER
O34633	BSUB:BSU12280-MONOMER
O34647	BSUB:BSU18850-MONOMER
O34660	BSUB:BSU19310-MONOMER
O34687	BSUB:BSU15080-MONOMER
O34709	BSUB:BSU33840-MONOMER
O34714	BSUB:BSU33240-MONOMER;;MetaCyc:BSU33240-MONOMER
O34722	BSUB:BSU07480-MONOMER
O34751	BSUB:BSU15840-MONOMER
O34759	BSUB:BSU06270-MONOMER
O34760	BSUB:BSU29890-MONOMER
O34764	BSUB:BSU15590-MONOMER
O34788	BSUB:BSU06240-MONOMER
O34795	BSUB:BSU01870-MONOMER
O34810	HPY:HP0426-MONOMER;;HPY:HP1409-MONOMER
O34812	BSUB:BSU07450-MONOMER
O34824	BSUB:BSU01770-MONOMER
O34832	BSUB:BSU07500-MONOMER
O34833	BSUB:BSU02940-MONOMER
O34859	BSUB:BSU13410-MONOMER
O34860	BSUB:BSU13200-MONOMER
O34863	BSUB:BSU35160-MONOMER
O34872	BSUB:BSU30690-MONOMER
O34904	BSUB:BSU06390-MONOMER
O34909	BSUB:BSU06560-MONOMER
O34924	BSUB:BSU29860-MONOMER
O34948	BSUB:BSU13960-MONOMER
O34949	BSUB:BSU13340-MONOMER
O34962	BSUB:BSU29220-MONOMER
O34967	BSUB:BSU30700-MONOMER
O34968	BSUB:BSU06570-MONOMER
O34979	BSUB:BSU33270-MONOMER
O34981	BSUB:BSU14180-MONOMER
O35004	BSUB:BSU06200-MONOMER
O35019	BSUB:BSU07870-MONOMER
O35033	BSUB:BSU15700-MONOMER
O50147	N/A
O50397	MTBH37RV:G185E-7644-MONOMER
O50416	MTBH37RV:G185E-7666-MONOMER
O50431	MTBH37RV:G185E-5344-MONOMER
O50432	MTBH37RV:G185E-5345-MONOMER
O50464	MTBH37RV:G185E-5420-MONOMER
O50508	N/A
O50515	N/A
O52631	N/A
O52632	N/A
O52982	EcoCyc:G7371-MONOMER;;ECOL316407:JW5921-MONOMER
O53083	LMON169963:LMO1787-MONOMER
O53148	MTBH37RV:G185E-5639-MONOMER
O53154	MTBH37RV:G185E-5646-MONOMER
O53165	MTBH37RV:G185E-5658-MONOMER
O53181	MetaCyc:G185E-6686-MONOMER;;MTBH37RV:G185E-6686-MONOMER
O53203	MTBH37RV:G185E-6711-MONOMER
O53213	MTBH37RV:G185E-6724-MONOMER
O53298	MTBH37RV:G185E-7343-MONOMER
O53310	MTBH37RV:G185E-7425-MONOMER
O53321	MTBH37RV:G185E-7436-MONOMER
O53329	MTBH37RV:G185E-7444-MONOMER
O53343	MTBH37RV:G185E-7465-MONOMER
O53346	MTBH37RV:G185E-7470-MONOMER
O53353	MTBH37RV:G185E-7534-MONOMER
O53360	MTBH37RV:G185E-7582-MONOMER
O53362	MTBH37RV:G185E-7585-MONOMER
O53399	MTBH37RV:G185E-5211-MONOMER
O53406	MTBH37RV:G185E-5220-MONOMER
O53417	MTBH37RV:G185E-5231-MONOMER
O53469	MTBH37RV:G185E-6225-MONOMER
O53493	MetaCyc:G185E-6255-MONOMER;;MTBH37RV:G185E-6255-MONOMER
O53509	MTBH37RV:G185E-6384-MONOMER
O53512	MTBH37RV:G185E-6388-MONOMER
O53521	MTBH37RV:G185E-6397-MONOMER
O53531	MTBH37RV:G185E-6474-MONOMER
O53532	MTBH37RV:G185E-6475-MONOMER
O53547	MetaCyc:G185E-7779-MONOMER;;MTBH37RV:G185E-7779-MONOMER
O53564	MTBH37RV:G185E-7796-MONOMER
O53578	MetaCyc:G185E-8095-MONOMER;;MTBH37RV:G185E-8095-MONOMER
O53579	CALBI:RV3800C-MONOMER;;MetaCyc:G185E-8096-MONOMER;;MTBCDC1551:GT3Z-8447-MONOMER;;PCHR:RV3800C-MONOMER
O53580	MetaCyc:G185E-8097-MONOMER;;MTBH37RV:G185E-8097-MONOMER
O53598	MTBH37RV:G185E-8218-MONOMER
O53611	MTBH37RV:G185E-4181-MONOMER
O53622	MetaCyc:G185E-4192-MONOMER;;MTBH37RV:G185E-4192-MONOMER
O53641	MTBH37RV:G185E-4276-MONOMER
O53672	MTBH37RV:G185E-4372-MONOMER
O53673	MTBH37RV:G185E-4373-MONOMER
O53718	MTBH37RV:G185E-4507-MONOMER
O53777	MTBH37RV:G185E-4714-MONOMER
O53789	MTBH37RV:G185E-4824-MONOMER
O53834	MTBCDC1551:GT3Z-5177-MONOMER
O53842	MTBH37RV:G185E-4981-MONOMER
O53857	MTBH37RV:G185E-4999-MONOMER
O53858	MTBCDC1551:GT3Z-5208-MONOMER
O53900	MTBH37RV:G185E-5144-MONOMER
O53901	MTBH37RV:G185E-5715-MONOMER
O53977	MTBH37RV:G185E-6175-MONOMER
O54130	N/A
O58655	PHOR70601:G1G39-936-MONOMER
O65934	MTBH37RV:G185E-5942-MONOMER
O68970	N/A
O68973	N/A
O69250	N/A
O69289	CJEJ192222:G1G1F-1178-MONOMER
O69637	MTBH37RV:G185E-7952-MONOMER
O69654	MTBH37RV:G185E-7971-MONOMER
O69659	MTBH37RV:G185E-7976-MONOMER
O69670	MTBH37RV:G185E-7988-MONOMER
O69684	MTBCDC1551:GT3Z-8357-MONOMER
O69690	MTBH37RV:G185E-8012-MONOMER
O69695	MTBH37RV:G185E-8018-MONOMER
O69722	MTBH37RV:G185E-8047-MONOMER
O69850	N/A
O69879	N/A
O69896	N/A
O86312	MTBH37RV:G185E-5389-MONOMER
O86320	MTBH37RV:G185E-5132-MONOMER
O86340	MTBH37RV:G185E-6265-MONOMER
O86351	MTBH37RV:G185E-5276-MONOMER
O86365	MTBH37RV:G185E-4718-MONOMER
O86517	N/A
O86525	N/A
O86560	N/A
O86575	N/A
O86637	N/A
O86716	N/A
O86757	N/A
O86775	N/A
O87527	N/A
O88017	N/A
O88038	N/A
O88060	N/A
O93774	SSOL273057:G1FZF-1144-MONOMER
P00350	EcoCyc:6PGLUCONDEHYDROG-MONOMER;;ECOL316407:JW2011-MONOMER;;MetaCyc:6PGLUCONDEHYDROG-MONOMER
P00363	EcoCyc:FUM-FLAVO;;ECOL316407:JW4115-MONOMER;;MetaCyc:FUM-FLAVO
P00370	EcoCyc:GDHA-MONOMER;;ECOL316407:JW1750-MONOMER;;MetaCyc:GDHA-MONOMER
P00448	EcoCyc:SUPEROX-DISMUTMN-MONOMER;;ECOL316407:JW3879-MONOMER;;MetaCyc:SUPEROX-DISMUTMN-MONOMER
P00509	EcoCyc:ASPAMINOTRANS-MONOMER;;ECOL316407:JW0911-MONOMER;;MetaCyc:ASPAMINOTRANS-MONOMER
P00550	EcoCyc:MTLA-MONOMER;;ECOL316407:JW3573-MONOMER;;MetaCyc:MTLA-MONOMER
P00562	EcoCyc:ASPKINIIHOMOSERDEHYDROGII-MONOMER;;ECOL316407:JW3911-MONOMER;;MetaCyc:ASPKINIIHOMOSERDEHYDROGII-MONOMER
P00579	EcoCyc:RPOD-MONOMER;;ECOL316407:JW3039-MONOMER;;MetaCyc:RPOD-MONOMER
